body_post,source_type,weight
531898,LC4,6811
11137,LC4,4786
531898,LPLC2,1957
11137,LPLC2,1441
531898,UNKNOWN,485
531898,PVLP046,398
11137,UNKNOWN,370
11137,MeVP53,327
531898,MeVP53,318
11137,PVLP046,216
531898,CB4176,189
11137,CB4176,177
531898,PVLP031,106
531898,,98
531898,PVLP024,88
531898,WED072,83
11137,,82
531898,CB4179,79
11137,PVLP025,79
11137,PVLP066,74
11137,PVLP100,74
11137,PVLP151,72
531898,PVLP025,70
531898,PVLP151,67
11137,PVLP031,65
11137,PVLP024,64
531898,AVLP076,61
11137,AVLP076,59
531898,CB4248,59
531898,WED125,55
11137,VES023,51
11137,CB4179,44
531898,CB3201,43
531898,PVLP100,42
11137,CB3544,41
531898,CB3513,39
531898,AVLP085,38
11137,CL323,37
531898,PLP211,37
531898,PVLP130,36
11137,CB3513,35
531898,PVLP034,33
11137,WED072,32
531898,CL367,32
11137,AVLP085,32
11137,PVLP068,32
531898,PVLP010,32
11137,PVLP130,32
531898,CB3544,30
531898,CB0956,30
531898,CL128a,29
531898,SAD023,27
11137,PVLP120,27
11137,WED125,26
531898,VES023,26
11137,CB3400,26
11137,PVLP010,26
531898,PVLP120,26
531898,CB4163,25
531898,PVLP094,24
531898,LHAD1g1,24
531898,PVLP076,24
11137,PLP211,24
531898,PVLP026,23
531898,AVLP202,23
531898,PLP060,23
11137,CL128a,23
11137,IN05B061,23
11137,CB4248,22
11137,CB3201,22
531898,PVLP066,22
531898,AMMC-A1,22
531898,PVLP013,22
531898,CB3400,22
11137,PVLP096,21
531898,IN00A051,20
11137,GNG300,20
531898,GNG300,19
531898,CL323,19
531898,LoVP54,19
11137,SAD023,19
531898,CB0154,19
531898,CB4102,18
11137,PVLP013,18
11137,PVLP094,17
531898,IN05B061,17
11137,AVLP542,17
531898,LPLC1,17
11137,PVLP026,17
11137,CB4163,16
531898,PVLP096,16
11137,ANXXX027,16
531898,AVLP542,16
531898,AN19A038,15
531898,AVLP079,15
11137,AN08B012,14
531898,IN05B065,14
531898,DNp02,14
531898,PVLP068,14
531898,SAD013,14
11137,PVLP123,13
11137,PVLP064,13
11137,AVLP202,13
11137,PLP060,13
11137,WED187,13
11137,IN00A025,12
531898,PVLP027,12
11137,DNp02,12
11137,PVLP076,11
531898,GNG004,11
11137,IN05B065,10
11137,SAD098,10
11137,WED117,10
11137,PVLP011,10
531898,AN19B036,10
11137,CL367,10
11137,AVLP094,10
531898,IB114,10
531898,PVLP123,9
531898,CB1638,9
11137,IN00A051,9
11137,PVLP018,9
11137,LHAD1g1,8
11137,PVLP122,8
531898,AN09B016,8
531898,AN08B098,8
11137,CB0115,8
11137,LC18,8
531898,DNp103,8
531898,CB2371,8
11137,DNp06,8
11137,AVLP080,8
531898,PVLP028,8
531898,PVLP122,8
531898,WED187,8
531898,PVLP064,8
11137,SAD013,8
11137,DNp103,7
11137,AVLP607,7
11137,AVLP083,7
11137,IB114,7
531898,AVLP080,7
