source_type,intermediate_body,visual_to_intermediate_weight,descending_body,intermediate_to_descending_weight,intermediate_type,descending_type
LPLC2,11697,1076,11851,1,AVLP500,
LPLC2,10147,1075,11851,3,LHAD1g1,
LC4,11043,352,13539,6,LPT60,
LC4,10583,299,13539,3,LPT60,
LC4,10147,233,11851,3,LHAD1g1,
LC4,556303,211,11851,1,CB1498,
LC4,12395,208,11851,1,IB114,
LPLC2,12395,152,11851,1,IB114,
LC4,14106,61,13539,1,CB2664,
LC4,21168,60,11851,4,AVLP149,
LC4,22292,46,11851,2,AVLP094,
LPLC2,21301,42,11851,1,AVLP711m,
LPLC2,520606,27,11851,2,PVLP014,
LPLC2,10172,20,11851,1,AVLP080,
LC4,46977,19,11851,1,AVLP149,
LPLC2,10778,18,11851,1,CL286,
LPLC2,11043,14,13539,6,LPT60,
LPLC2,519387,13,13539,1,WED060,
LPLC2,523512,11,11851,3,AVLP538,
LPLC2,10428,10,13964,1,MeVCMe1,
LC4,12966,8,13539,1,LoVC13,
LPLC2,11108,7,13964,4,CL286,
LPLC2,10583,7,13539,3,LPT60,
LPLC2,529811,7,11851,3,AVLP476,
LC4,523560,7,11851,1,CB3879,
LC4,529811,6,11851,3,AVLP476,
LC4,16815,6,13539,1,GNG343,
LPLC2,10685,4,13539,3,LoVP101,
LPLC2,523528,3,11851,6,PVLP014,
LPLC2,11569,3,11851,5,5-HTPLP01,
LC4,10253,3,13539,1,AN07B004,
LC4,11697,3,11851,1,AVLP500,
LC4,13584,3,11851,1,GNG517,
LC4,68230,3,11851,1,CB1934,
LPLC2,10494,3,11851,1,AVLP076,
LPLC2,17889,2,11851,11,AVLP037,
LC4,20885,2,11851,5,AVLP093,
LC4,520606,2,11851,2,PVLP014,
LC4,512617,2,13539,1,CB2153,
LPLC2,13715,2,11851,1,CL365,
LPLC2,11937,1,11851,7,AVLP077,
LPLC2,523842,1,11851,6,AVLP449,
LC4,11108,1,13964,4,CL286,
LC4,21443,1,11851,4,AVLP120,
LPLC2,11785,1,11851,4,MBON33,
LPLC2,11580,1,11851,2,AVLP539,
LPLC2,16752,1,11851,2,AVLP111,
LC4,10428,1,13964,1,MeVCMe1,
LC4,10494,1,11851,1,AVLP076,
LC4,23053,1,11851,1,AVLP149,
LPLC2,11353,1,11851,1,CL319,
LPLC2,556303,1,11851,1,CB1498,
LPLC2,10943,3025,11425,1,AVLP531,CB0429
LPLC2,10828,1610,10842,3,AVLP531,CB0429
LPLC2,10867,758,11425,7,PVLP076,CB0429
LPLC2,555383,580,10842,17,PVLP076,CB0429
LPLC2,10448,318,10842,4,PVLP093,CB0429
LC4,11472,292,10842,4,PVLP015,CB0429
LC4,12419,226,11425,9,CL140,CB0429
LC4,532839,208,10842,3,CL140,CB0429
LPLC2,532839,128,10842,3,CL140,CB0429
LPLC2,10100,88,10842,10,LoVCLo3,CB0429
LPLC2,10100,88,11425,7,LoVCLo3,CB0429
LPLC2,11303,85,11425,1,PLP211,CB0429
LPLC2,12419,81,11425,9,CL140,CB0429
LPLC2,11005,79,11425,4,OA-VUMa4,CB0429
LPLC2,11005,79,10842,1,OA-VUMa4,CB0429
LPLC2,10432,71,11425,4,LoVCLo3,CB0429
LPLC2,10432,71,10842,3,LoVCLo3,CB0429
LC4,11125,70,10842,1,AVLP610,CB0429
LPLC2,11507,70,10842,1,PLP211,CB0429
LPLC2,12120,68,11425,2,AVLP316,CB0429
LPLC2,10799,59,11425,3,OA-VUMa4,CB0429
LPLC2,10799,59,10842,3,OA-VUMa4,CB0429
LC4,535044,49,11425,1,CL128a,CB0429
LPLC2,11526,46,11425,2,PVLP114,CB0429
LPLC2,11472,43,10842,4,PVLP015,CB0429
LC4,524005,42,10842,6,LAL026_b,CB0429
LC4,520188,35,11425,1,AVLP610,CB0429
LPLC2,15160,27,10842,6,PVLP070,CB0429
LC4,46977,19,10842,1,AVLP149,CB0429
LC4,10432,17,11425,4,LoVCLo3,CB0429
LC4,10432,17,10842,3,LoVCLo3,CB0429
LC4,29581,17,11425,1,PLP150,CB0429
LPLC2,13995,16,10842,1,PS181,CB0429
LC4,11719,15,11425,4,PLP256,CB0429
LC4,524668,12,10842,2,PLP256,CB0429
LC4,11047,12,11425,1,PS001,CB0429
LPLC2,10579,12,10842,1,MeVP51,CB0429
LC4,10448,11,10842,4,PVLP093,CB0429
LC4,10100,9,10842,10,LoVCLo3,CB0429
LC4,10100,9,11425,7,LoVCLo3,CB0429
LPLC2,10050,9,11425,2,5-HTPMPV03,CB0429
LC4,10943,9,11425,1,AVLP531,CB0429
LC4,11507,9,10842,1,PLP211,CB0429
LPLC2,10050,9,10842,1,5-HTPMPV03,CB0429
LC4,11303,8,11425,1,PLP211,CB0429
LPLC2,11832,7,10842,3,CL367,CB0429
LPLC2,11832,7,11425,2,CL367,CB0429
LC4,14262,7,10842,1,OCG06,CB0429
LPLC2,19862,7,10842,1,PVLP144,CB0429
LPLC2,12233,6,11425,18,AVLP708m,CB0429
LC4,96296,6,10842,3,LC39a,CB0429
LC4,11361,6,11425,2,CL367,CB0429
LPLC2,12233,6,10842,2,AVLP708m,CB0429
LC4,11361,6,10842,1,CL367,CB0429
LPLC2,10289,6,10842,1,LT39,CB0429
LPLC2,520188,6,11425,1,AVLP610,CB0429
LC4,555383,5,10842,17,PVLP076,CB0429
LC4,11832,5,10842,3,CL367,CB0429
LPLC2,10735,5,10842,3,LoVC18,CB0429
LPLC2,96296,5,10842,3,LC39a,CB0429
LC4,11832,5,11425,2,CL367,CB0429
