source_type,target_type,target_neurons,total_weight
LC4,UNKNOWN,58610,113250
LC4,LC4,126,18392
LC4,DNp04,2,11597
LC4,AMMC-A1,6,10767
LC4,,52,7394
LC4,PVLP024,3,6850
LC4,DNp01,2,6362
LC4,PVLP122,6,4534
LC4,DNp02,2,4209
LC4,DNp11,2,3666
LC4,PVLP021,4,3435
LC4,PVLP022,3,2778
LC4,DNp03,2,2507
LC4,AVLP452,4,2471
LC4,AVLP259,4,2295
LC4,CB3513,4,2292
LC4,PVLP010,2,2176
LC4,PVLP130,2,1944
LC4,SAD064,6,1732
LC4,MeLo13,73,1628
LC4,PVLP141,2,1539
LC4,PVLP151,4,1526
LC4,MeLo8,47,1520
LC4,CB3400,2,1419
LC4,DNp05,2,1303
LC4,LoVC16,4,1300
LC4,DNp06,2,1152
LC4,PVLP064,6,1127
LC4,PLP219,4,1075
LC4,PVLP011,2,1011
LC4,DNg40,2,980
LC4,LC14a-1,30,879
LC4,CL323,4,878
LC4,WED125,3,867
LC4,PVLP137,2,855
LC4,PVLP015,2,833
LC4,Li30,10,723
LC4,LT82a,4,716
LC4,CB3201,4,715
LC4,PVLP046,11,693
LC4,LPT60,2,651
LC4,PVLP066,4,650
LC4,LoVP85,2,606
LC4,LC31b,10,586
LC4,CB2371,2,578
LC4,PLP029,2,562
LC4,CB1932,10,557
LC4,SAD023,6,556
LC4,LHAD1g1,2,555
LC4,MeVC25,2,549
LC4,CB3544,2,517
LC4,LT60,2,474
LC4,PVLP019,2,472
LC4,DNp35,2,464
LC4,PLP150,7,464
LC4,AVLP430,2,434
LC4,CL140,2,434
LC4,PVLP123,6,419
LC4,IB114,2,416
LC4,AVLP429,2,409
LC4,CB1498,2,374
LC4,CB4102,7,362
LC4,LPLC2,135,361
LC4,CB1958,4,360
LC4,DNp103,2,335
LC4,PVLP026,2,326
LC4,LT61b,2,307
LC4,PLP034,2,305
LC4,MeVP53,2,304
LC4,LoVP93,11,274
LC4,PVLP120,2,266
LC4,PVLP100,3,260
LC4,LC9,131,255
LC4,CB2664,4,243
LC4,DNpe021,2,227
LC4,PVLP068,4,227
LC4,WED127,3,227
LC4,PLP093,2,222
LC4,DNpe025,2,221
LC4,CB4103,6,212
LC4,AVLP094,2,200
LC4,SAD013,2,198
LC4,LPLC1,95,188
LC4,LT35,2,174
LC4,WED116,1,164
LC4,CB1280,2,155
LC4,GNG300,2,144
LC4,Li25,66,141
LC4,LT82b,2,139
LC4,TmY18,121,135
LC4,AVLP149,7,134
LC4,SAD011,3,131
LC4,LC17,98,130
LC4,MeLo12,43,130
LC4,LC10a,93,126
LC4,LAL026_a,1,124
LC4,AVLP126,6,121
LC4,CL128a,4,121
LC4,LC12,89,119
LC4,AVLP339,2,117
LC4,LAL300m,4,117
LC4,LC10d,63,116
LC4,TmY19b,33,116
LC4,AVLP016,2,115
LC4,MeLo14,34,112
LC4,SAD049,2,108
LC4,LC23,10,107
LC4,AVLP610,2,105
LC4,Li17,21,103
LC4,LT66,2,102
LC4,SAD055,2,99
LC4,LC11,70,97
LC4,MeLo10,47,95
LC4,Tm4,86,95
LC4,PLP106,4,89
LC4,PVLP031,4,88
LC4,Li14,65,87
LC4,CB4179,5,86
LC4,Tm24,63,79
LC4,TmY3,70,78
LC4,LC18,60,77
LC4,PVLP124,2,70
LC4,T2,61,69
LC4,Y14,48,68
LC4,CB0738,1,64
LC4,LPLC4,40,64
LC4,TmY15,56,63
LC4,AOTU034,2,62
LC4,LC21,41,62
LC4,Li26,31,62
LC4,PVLP017,2,62
LC4,Tm3,54,62
LC4,LC31a,27,60
LC4,T2a,53,59
LC4,PLP060,2,57
LC4,PVLP018,2,57
LC4,CB2940,2,55
LC4,LAL053,1,55
LC4,LLPC1,43,55
LC4,Tm6,49,53
LC4,CB4101,6,52
LC4,Tm5Y,46,52
LC4,Tm20,46,51
LC4,AVLP320_b,2,50
LC4,MeLo9,31,50
LC4,PVLP025,4,50
LC4,Tm37,44,50
LC4,LC22,28,49
LC4,PVLP112,3,49
LC4,Li15,24,47
LC4,TmY19a,29,46
LC4,AVLP202,2,45
LC4,PS306,2,45
LC4,PVLP093,2,44
LC4,TmY5a,38,44
LC4,LLPC2,37,43
LC4,TmY16,32,43
LC4,LAL026_b,1,42
LC4,Li21,29,42
LC4,SAD014,4,42
LC4,PLP018,3,40
LC4,PVLP027,2,40
LC4,LC15,29,38
LC4,MeLo2,29,38
LC4,PVLP094,2,38
LC4,LAL301m,2,37
LC4,LoVP53,2,37
LC4,MeLo11,24,37
LC4,Y3,14,36
LC4,AOTU032,2,35
LC4,SAD106,2,35
LC4,LC14b,21,34
LC4,LC16,31,34
LC4,LT40,2,34
LC4,PLP099,2,34
LC4,DNp69,2,33
LC4,LoVP50,6,33
LC4,CB1638,4,32
LC4,LT74,6,31
LC4,LoVP18,10,31
LC4,DNb05,2,30
LC4,LC13,24,30
LC4,LOLP1,21,30
LC4,LT56,2,30
LC4,Li39,2,30
LC4,LC35a,10,29
LC4,Li38,2,29
LC4,LC6,26,28
LC4,LoVC15,6,28
LC4,TmY21,23,28
LC4,CB4180,1,27
LC4,LLPC3,25,27
LC4,PLP256,2,27
LC4,TmY17,10,27
LC4,LT87,2,26
LC4,LoVC14,2,26
LC4,LoVCLo3,2,26
LC4,SAD098,1,26
LC4,T3,21,26
LC4,Tlp14,22,26
LC4,CL022_b,2,25
LC4,LC29,19,25
LC4,PVLP127,2,25
LC4,Tlp12,17,25
LC4,AVLP152,2,24
LC4,AVLP204,3,24
LC4,AVLP711m,1,24
LC4,CB0414,1,24
LC4,CB4176,7,24
LC4,LoVP26,7,24
LC4,Tm12,22,24
LC4,CB3302,2,23
LC4,Li28,6,23
LC4,LoVC7,2,23
LC4,PVLP013,1,23
LC4,WED109,1,23
LC4,AN08B010,2,22
LC4,LT51,13,22
LC4,PVLP065,2,22
LC4,PVLP113,3,22
LC4,LT41,2,21
LC4,Li11b,4,21
LC4,Li29,7,21
LC4,Li32,2,21
LC4,WED193,1,21
LC4,Y11,15,21
LC4,ANXXX109,2,20
LC4,AVLP203_c,2,20
LC4,Li11a,4,20
LC4,PVLP028,3,20
LC4,PVLP111,7,20
LC4,LT1d,2,19
LC4,LT61a,2,19
LC4,LoVP54,2,19
LC4,PLP300m,3,19
LC4,Y13,14,19
LC4,CB4118,5,18
LC4,LT1a,2,18
LC4,Li23,13,18
LC4,Li33,2,18
LC4,PLP249,2,18
LC4,AVLP542,2,17
LC4,DNp70,2,17
LC4,LT62,2,17
LC4,PLP211,2,17
LC4,SAD053,2,17
LC4,Tlp11,10,17
LC4,Tlp13,12,17
LC4,Tm5c,16,17
LC4,TmY13,16,17
LC4,WED060,2,17
LC4,WED124,2,17
LC4,CB2676,2,16
LC4,LT83,2,16
LC4,TmY20,5,16
LC4,AVLP258,2,15
LC4,CB4163,1,15
LC4,MeVC23,2,15
LC4,PVLP071,4,15
LC4,TmY14,14,15
LC4,CB1314,5,14
LC4,CB1717,2,14
LC4,WED029,2,14
LC4,LC28,12,13
LC4,LT77,5,13
LC4,Li27,10,13
LC4,WED015,3,13
LC4,WED046,2,13
LC4,Y12,12,13
LC4,CB3879,2,12
LC4,DNpe045,2,12
LC4,LT11,2,12
LC4,LT1c,2,12
LC4,LT73,2,12
LC4,M_spPN4t9,1,12
LC4,OCG06,2,12
LC4,PLP241,1,12
LC4,PS001,1,12
LC4,SAD073,3,12
LC4,Tm16,10,12
LC4,TmY10,11,12
LC4,CB4248,4,11
LC4,CL367,2,11
LC4,DNp42,2,11
LC4,GNG343,2,11
LC4,PS002,3,11
LC4,PVLP062,2,11
LC4,T5c,8,11
LC4,AVLP201,2,10
