body_pre,body_post,weight,source_type,descending_type
10580,10010,739,DNp70,DNp01
11133,10001,537,DNp70,DNp01
10494,10234,478,AVLP076,DNp35
10879,10558,468,AVLP076,DNp35
10147,10228,453,LHAD1g1,DNp06
10297,10584,449,LHAD1g1,DNp06
21568,10558,435,AVLP080,DNp35
10074,10228,426,PVLP010,DNp06
10074,10010,414,PVLP010,DNp01
10172,10234,380,AVLP080,DNp35
531985,10584,350,PVLP010,DNp06
10297,10283,329,LHAD1g1,DNp103
10480,11137,327,MeVP53,DNp04
10251,531898,318,MeVP53,DNp04
10494,10228,306,AVLP076,DNp06
10297,10923,305,LHAD1g1,DNg40
10580,10361,302,DNp70,DNg40
10719,10558,300,AVLP079,DNp35
531985,10001,297,PVLP010,DNp01
525958,10752,289,PLP060,DNp03
13108,10732,285,AVLP370_b,DNpe056
12286,10228,285,AN05B102a,DNp06
10867,10558,281,PVLP076,DNp35
10867,10584,281,PVLP076,DNp06
555383,10228,279,PVLP076,DNp06
555309,10752,279,GNG385,DNp03
12215,10001,278,PVLP122,DNp01
10421,10234,276,AVLP079,DNp35
533064,10223,275,AVLP370_b,DNpe056
10147,10417,262,LHAD1g1,DNp103
10147,10361,261,LHAD1g1,DNg40
11927,10010,258,PVLP122,DNp01
10263,10010,258,GNG300,DNp01
21568,10283,256,AVLP080,DNp103
530085,10259,246,PVLP022,DNp11
11431,10584,240,AN05B102a,DNp06
10879,10584,238,AVLP076,DNp06
15791,10010,237,SAD064,DNp01
523921,10001,233,PVLP122,DNp01
11272,10010,230,PVLP062,DNp01
11181,10234,227,AVLP086,DNp35
574984,10752,227,GNG385,DNp03
12628,10283,227,DNpe042,DNp103
10098,10417,223,AVLP442,DNp103
16482,10228,221,PVLP123,DNp06
11440,10989,221,PLP060,DNp03
555383,10234,221,PVLP076,DNp35
10992,10010,219,PVLP122,DNp01
11133,10923,217,DNp70,DNg40
25438,10010,217,SAD064,DNp01
11460,10558,217,AVLP086,DNp35
31440,10283,215,AVLP442,DNp103
10091,10010,214,DNpe042,DNp01
529031,10001,213,GNG300,DNp01
10074,10361,213,PVLP010,DNg40
17375,10010,213,SAD064,DNp01
11832,10417,212,CL367,DNp103
10128,10197,212,SAD103,DNp02
521693,10228,211,PVLP122,DNp06
10091,10417,210,DNpe042,DNp103
11205,10010,208,SAD073,DNp01
12723,10558,207,AVLP591,DNp35
11361,10417,204,CL367,DNp103
11927,10228,201,PVLP122,DNp06
11257,12628,200,DNp45,DNpe042
531985,10923,200,PVLP010,DNg40
13274,10010,199,SAD073,DNp01
523921,10923,199,PVLP122,DNg40
15718,10234,194,WED072,DNp35
10184,519771,193,CL366,DNp71
513904,10259,191,SAD049,DNp11
523436,10558,189,WED072,DNp35
10323,519771,189,CL366,DNp71
11091,10228,189,AVLP542,DNp06
11832,10283,189,CL367,DNp103
