body_post,LC4,LPLC2,target_type,receives_from_both
531898,6811.0,1957.0,DNp04,True
11137,4786.0,1441.0,DNp04,True
10010,3782.0,2642.0,DNp01,True
16475,2651.0,28.0,PVLP024,True
10001,2580.0,2220.0,DNp01,True
10020,2239.0,85.0,AMMC-A1,True
19454,2173.0,16.0,PVLP024,True
10146,2114.0,121.0,AMMC-A1,True
16459,2026.0,8.0,PVLP024,True
10259,2022.0,56.0,DNp11,True
10017,1992.0,35.0,AMMC-A1,True
10117,1930.0,5.0,DNp02,True
10752,1827.0,1.0,DNp03,True
10257,1821.0,31.0,AMMC-A1,True
10106,1644.0,15.0,DNp11,True
532199,1341.0,57.0,AMMC-A1,True
12215,1313.0,15.0,PVLP122,True
10277,1260.0,49.0,AMMC-A1,True
11927,1248.0,3.0,PVLP122,True
10074,1238.0,19.0,PVLP010,True
527690,1167.0,323.0,PVLP022,True
18628,1146.0,744.0,,True
13794,1110.0,8.0,PVLP021,True
527536,1069.0,290.0,,True
10145,1001.0,1200.0,PVLP130,True
10992,979.0,363.0,PVLP122,True
13122,943.0,1401.0,PVLP130,True
531648,939.0,525.0,,True
531985,938.0,13.0,PVLP010,True
523921,923.0,580.0,PVLP122,True
65991,912.0,2.0,PVLP021,True
531899,856.0,2.0,AVLP452,True
519416,817.0,359.0,,True
10373,813.0,17.0,PVLP141,True
530085,807.0,278.0,PVLP022,True
11895,804.0,273.0,PVLP022,True
19951,773.0,7.0,CB3400,True
76505,744.0,527.0,,True
514764,726.0,29.0,PVLP141,True
526031,716.0,21.0,PVLP021,True
10228,705.0,886.0,DNp06,True
524001,702.0,15.0,DNp05,True
15815,697.0,6.0,PVLP021,True
521326,688.0,93.0,AVLP259,True
71157,682.0,36.0,CB3513,True
17065,673.0,43.0,CB3513,True
21392,646.0,17.0,CB3400,True
19302,625.0,410.0,,True
11020,601.0,24.0,DNp05,True
16246,597.0,128.0,AVLP259,True
523564,594.0,4640.0,PVLP011,True
15994,589.0,22.0,CB3513,True
11118,565.0,136.0,PVLP137,True
531983,546.0,2.0,AVLP452,True
534040,541.0,142.0,PVLP015,True
10361,534.0,1172.0,DNg40,True
21026,534.0,29.0,CB2371,True
16887,526.0,135.0,AVLP259,True
85544,487.0,2.0,AVLP452,True
16904,484.0,121.0,AVLP259,True
17375,466.0,14.0,SAD064,True
16520,465.0,400.0,PLP219,True
527699,454.0,22.0,SAD064,True
10584,447.0,833.0,DNp06,True
10923,446.0,1826.0,DNg40,True
12275,435.0,2095.0,PVLP151,True
10220,426.0,4.0,LoVC16,True
16659,417.0,6983.0,PVLP011,True
10173,394.0,1320.0,PVLP151,True
23446,390.0,3.0,CB3201,True
10053,367.0,5.0,LoVC16,True
21342,362.0,216.0,CL323,True
11043,352.0,14.0,LPT60,True
11826,350.0,1283.0,PVLP151,True
16930,348.0,33.0,CB3513,True
11677,347.0,2073.0,PVLP151,True
25438,340.0,40.0,SAD064,True
10297,322.0,974.0,LHAD1g1,True
15665,311.0,36.0,SAD064,True
10102,307.0,329.0,MeVC25,True
11926,304.0,11.0,LoVP85,True
562991,302.0,20.0,LoVP85,True
34740,299.0,9.0,,True
10583,299.0,7.0,LPT60,True
22032,299.0,1.0,PVLP064,True
17284,296.0,4.0,,True
16474,293.0,8.0,LT60,True
11472,292.0,43.0,PVLP015,True
10329,290.0,188.0,PVLP137,True
10029,276.0,25.0,LoVC16,True
91275,270.0,104.0,PLP219,True
17246,269.0,15.0,PLP219,True
10936,267.0,18.0,LT61b,True
14091,267.0,6.0,CB3544,True
10234,251.0,439.0,DNp35,True
15733,250.0,8.0,CB3544,True
10105,242.0,256.0,MeVC25,True
17478,237.0,28.0,LC4,True
10147,233.0,1075.0,LHAD1g1,True
10129,231.0,1.0,LoVC16,True
15597,228.0,4.0,,True
12419,226.0,81.0,CL140,True
13876,219.0,68.0,AVLP430,True
13953,215.0,77.0,AVLP430,True
129090,215.0,7.0,PVLP066,True
10558,213.0,481.0,DNp35,True
34246,213.0,4.0,PVLP066,True
11599,212.0,28.0,AVLP429,True
515900,211.0,46.0,LC4,True
556303,211.0,1.0,CB1498,True
10887,208.0,393.0,IB114,True
12395,208.0,152.0,IB114,True
532839,208.0,128.0,CL140,True
29889,207.0,6.0,PVLP064,True
527694,206.0,51.0,CL323,True
