body_post,source_type,weight
10228,LPLC1,1604
10584,LPLC1,1169
10228,UNKNOWN,941
10228,LPLC2,886
10584,LPLC2,833
10228,PVLP123,818
10584,UNKNOWN,796
10584,PVLP123,710
10228,LC4,705
10228,,597
10228,PVLP122,567
10228,LC31a,553
10584,,531
10228,LHAD1g1,453
10584,PVLP122,451
10584,LHAD1g1,449
10584,LC4,447
10228,PVLP010,426
10584,LC31a,399
10228,AVLP451,356
10584,PVLP010,350
10228,PVLP151,324
10584,PVLP151,319
10228,AVLP076,306
10228,WED072,302
10584,WED072,299
10228,AN05B102a,285
10584,PVLP076,281
10584,AVLP451,281
10228,PVLP076,279
10228,SIP118m,246
10584,AN05B102a,240
10584,AVLP076,238
10584,AVLP429,234
10228,AN09B016,209
10584,AN09B016,199
10228,AVLP542,189
10228,AVLP429,187
10228,AN09B012,186
10228,PVLP034,183
10228,LoVP54,180
10584,CB2458,180
10584,CL286,175
10584,AVLP542,173
10584,AN09B012,168
10228,CL286,165
10228,CB0956,163
10228,SIP145m,157
10228,CB2659,152
10584,SIP118m,151
10584,CB0956,150
10584,M_l2PN3t18,149
10228,AVLP177_a,149
10228,LT61b,149
10228,SAD091,146
10228,AVLP488,137
10228,WED046,136
10584,PVLP034,133
10228,AVLP176_b,133
10584,CL323,133
10584,WED046,132
10228,AVLP435_b,132
10584,LoVP54,128
10228,AVLP176_d,127
10228,AVLP082,126
10228,AVLP038,123
10584,PVLP062,122
10584,SIP145m,120
10228,AVLP606,119
10228,AN19B036,119
10584,SAD049,118
10584,AN19B036,117
10584,CB2659,115
10228,AVLP170,114
10228,M_l2PN3t18,111
10228,CL022_b,109
10228,PVLP062,109
10584,SAD023,109
10228,AVLP396,108
10584,AN05B006,108
10584,AVLP396,104
10584,SAD064,104
10584,SAD091,103
10584,AVLP177_a,103
10228,CB2472,103
10228,SAD049,102
10584,CL022_a,102
10228,CL022_a,101
10584,AVLP488,99
10228,PVLP128,99
10584,AVLP606,98
10228,PVLP124,98
10228,PVLP080_b,97
10228,AVLP040,97
