body_pre,body_post,weight,source_type,target_type
81112,531898,172,LC4,DNp04
12349,531898,160,LC4,DNp04
515900,531898,158,LC4,DNp04
512366,531898,154,LC4,DNp04
17054,11137,154,LC4,DNp04
27624,531898,148,LC4,DNp04
17653,531898,147,LC4,DNp04
24523,531898,141,LC4,DNp04
14888,531898,132,LC4,DNp04
520449,531898,132,LC4,DNp04
37587,531898,132,LC4,DNp04
17548,11137,132,LC4,DNp04
17340,531898,131,LC4,DNp04
518439,531898,129,LC4,DNp04
16128,11137,128,LC4,DNp04
77614,531898,128,LC4,DNp04
530029,531898,128,LC4,DNp04
21804,11137,126,LC4,DNp04
17478,531898,125,LC4,DNp04
31262,11137,123,LC4,DNp04
23929,11137,122,LC4,DNp04
16809,531898,120,LC4,DNp04
17987,11137,119,LC4,DNp04
16628,11137,118,LC4,DNp04
20859,531898,111,LC4,DNp04
518983,531898,111,LC4,DNp04
511914,531898,110,LC4,DNp04
20282,11137,109,LC4,DNp04
12824,531898,108,LC4,DNp04
518730,531898,108,LC4,DNp04
27750,531898,107,LC4,DNp04
19550,11137,106,LC4,DNp04
19543,11137,106,LC4,DNp04
27829,531898,106,LC4,DNp04
17608,531898,106,LC4,DNp04
34845,531898,106,LC4,DNp04
15018,531898,104,LC4,DNp04
20917,11137,104,LC4,DNp04
19954,11137,101,LC4,DNp04
17364,11137,100,LC4,DNp04
514956,531898,99,LC4,DNp04
20588,11137,99,LC4,DNp04
526286,531898,99,LC4,DNp04
20967,531898,99,LC4,DNp04
17608,10259,99,LC4,DNp11
111787,531898,97,LC4,DNp04
19794,11137,96,LC4,DNp04
22847,11137,94,LC4,DNp04
20542,11137,94,LC4,DNp04
30087,531898,93,LC4,DNp04
32597,531898,92,LC4,DNp04
18432,531898,92,LC4,DNp04
17926,11137,92,LC4,DNp04
29469,531898,91,LC4,DNp04
527408,11137,90,LC4,DNp04
33137,531898,90,LC4,DNp04
18478,531898,89,LC4,DNp04
18127,11137,89,LC4,DNp04
25584,11137,89,LC4,DNp04
26112,11137,88,LC4,DNp04
22034,11137,87,LC4,DNp04
21313,11137,87,LC4,DNp04
17270,531898,87,LC4,DNp04
18396,531898,86,LC4,DNp04
30803,11137,86,LC4,DNp04
23202,531898,86,LC4,DNp04
512705,531898,86,LC4,DNp04
17478,10010,86,LC4,DNp01
22975,11137,86,LC4,DNp04
21225,11137,85,LC4,DNp04
515476,531898,85,LC4,DNp04
22194,11137,85,LC4,DNp04
20440,531898,85,LC4,DNp04
18189,11137,84,LC4,DNp04
12032,531898,84,LC4,DNp04
30480,11137,84,LC4,DNp04
22772,531898,83,LC4,DNp04
21721,531898,83,LC4,DNp04
17653,10010,83,LC4,DNp01
518016,531898,83,LC4,DNp04
35262,531898,83,LC4,DNp04
21287,11137,82,LC4,DNp04
518439,10010,82,LC4,DNp01
31429,531898,81,LC4,DNp04
20859,10010,81,LC4,DNp01
31301,531898,80,LC4,DNp04
30803,10106,80,LC4,DNp11
518439,10259,80,LC4,DNp11
20808,11137,79,LC4,DNp04
107513,531898,78,LC4,DNp04
30480,10106,78,LC4,DNp11
29563,11137,78,LC4,DNp04
22966,10106,77,LC4,DNp11
516909,531898,77,LC4,DNp04
23098,11137,77,LC4,DNp04
524899,531898,77,LC4,DNp04
29417,531898,76,LC4,DNp04
17860,11137,76,LC4,DNp04
21336,11137,76,LC4,DNp04
15018,10259,75,LC4,DNp11
24338,11137,74,LC4,DNp04
100485,531898,74,LC4,DNp04
29514,531898,74,LC4,DNp04
19260,11137,73,LC4,DNp04
514956,10259,73,LC4,DNp11
29469,10010,73,LC4,DNp01
514508,531898,73,LC4,DNp04
16628,10117,72,LC4,DNp02
535341,531898,72,LC4,DNp04
532254,531898,72,LC4,DNp04
17926,10117,72,LC4,DNp02
20572,531898,72,LC4,DNp04
22847,10106,71,LC4,DNp11
22966,11137,71,LC4,DNp04
20399,11137,71,LC4,DNp04
17668,10117,70,LC4,DNp02
18396,10259,70,LC4,DNp11
533129,10010,69,LC4,DNp01
533129,531898,69,LC4,DNp04
32597,10010,69,LC4,DNp01
22922,531898,68,LC4,DNp04
28945,10106,67,LC4,DNp11
20967,10197,67,LC4,DNp02
20976,531898,67,LC4,DNp04
21151,11137,67,LC4,DNp04
22847,10001,67,LC4,DNp01
17266,11137,67,LC4,DNp04
27624,10259,67,LC4,DNp11
16138,11137,67,LC4,DNp04
16917,531898,66,LC4,DNp04
31308,531898,66,LC4,DNp04
16628,10146,65,LC4,AMMC-A1
16128,10001,65,LC4,DNp01
512366,10010,65,LC4,DNp01
17054,10146,64,LC4,AMMC-A1
27829,10010,64,LC4,DNp01
28945,11137,64,LC4,DNp04
524899,10010,64,LC4,DNp01
22328,11137,64,LC4,DNp04
515476,10010,64,LC4,DNp01
23392,11137,63,LC4,DNp04
17548,10117,63,LC4,DNp02
29514,10259,63,LC4,DNp11
17668,10001,63,LC4,DNp01
17270,10010,63,LC4,DNp01
24338,10001,63,LC4,DNp01
20016,11137,63,LC4,DNp04
23929,16459,63,LC4,PVLP024
35616,531898,63,LC4,DNp04
16917,10010,62,LC4,DNp01
12349,10010,62,LC4,DNp01
19420,11137,62,LC4,DNp04
18127,10117,62,LC4,DNp02
22772,10010,62,LC4,DNp01
38065,11137,62,LC4,DNp04
12032,10010,62,LC4,DNp01
20399,10001,62,LC4,DNp01
17364,10117,62,LC4,DNp02
530029,10010,62,LC4,DNp01
22966,10001,61,LC4,DNp01
20673,11137,61,LC4,DNp04
17668,11137,61,LC4,DNp04
31301,10010,61,LC4,DNp01
35616,10010,61,LC4,DNp01
12824,10197,61,LC4,DNp02
77614,16475,61,LC4,PVLP024
514956,10010,60,LC4,DNp01
38065,10106,60,LC4,DNp11
22194,10001,59,LC4,DNp01
17266,10146,59,LC4,AMMC-A1
27750,10010,59,LC4,DNp01
515900,10020,59,LC4,AMMC-A1
512366,16475,59,LC4,PVLP024
20572,10197,59,LC4,DNp02
18478,10020,59,LC4,AMMC-A1
18396,10010,59,LC4,DNp01
21165,11137,58,LC4,DNp04
23226,531898,58,LC4,DNp04
22966,16459,58,LC4,PVLP024
32597,10259,58,LC4,DNp11
29514,10010,58,LC4,DNp01
100485,10010,58,LC4,DNp01
22975,10001,58,LC4,DNp01
22975,10106,58,LC4,DNp11
518439,16475,58,LC4,PVLP024
18478,10010,58,LC4,DNp01
12824,10010,58,LC4,DNp01
16128,10117,57,LC4,DNp02
21336,10117,57,LC4,DNp02
532254,10259,57,LC4,DNp11
30803,10001,57,LC4,DNp01
519650,531898,57,LC4,DNp04
20976,10010,57,LC4,DNp01
18127,10001,57,LC4,DNp01
530029,10259,57,LC4,DNp11
28980,10259,56,LC4,DNp11
515900,10257,56,LC4,AMMC-A1
17054,530085,56,LC4,PVLP022
12032,10259,56,LC4,DNp11
35262,10010,56,LC4,DNp01
23392,10001,56,LC4,DNp01
19634,10001,56,LC4,DNp01
20673,10117,56,LC4,DNp02
23929,10001,56,LC4,DNp01
81112,10010,55,LC4,DNp01
17548,19454,55,LC4,PVLP024
14888,10010,55,LC4,DNp01
517752,531898,55,LC4,DNp04
517752,10010,55,LC4,DNp01
17653,10197,55,LC4,DNp02
22847,12215,55,LC4,PVLP122
12349,10017,55,LC4,AMMC-A1
23929,10106,55,LC4,DNp11
20572,10010,55,LC4,DNp01
21336,10001,55,LC4,DNp01
17653,10257,54,LC4,AMMC-A1
16128,19454,54,LC4,PVLP024
23202,10010,54,LC4,DNp01
511914,10010,54,LC4,DNp01
515900,16475,54,LC4,PVLP024
515900,10010,54,LC4,DNp01
23792,10106,54,LC4,DNp11
23792,11137,54,LC4,DNp04
12032,10020,54,LC4,AMMC-A1
532254,10017,54,LC4,AMMC-A1
31262,13794,54,LC4,PVLP021
17478,10197,53,LC4,DNp02
512705,10010,53,LC4,DNp01
524899,10197,53,LC4,DNp02
19634,11137,53,LC4,DNp04
515476,10259,53,LC4,DNp11
16628,10001,53,LC4,DNp01
17266,19454,53,LC4,PVLP024
19260,10117,53,LC4,DNp02
31301,16475,53,LC4,PVLP024
518544,531898,53,LC4,DNp04
26112,10001,53,LC4,DNp01
29563,10106,53,LC4,DNp11
77614,10010,52,LC4,DNp01
23792,10001,52,LC4,DNp01
22847,10146,52,LC4,AMMC-A1
18432,10010,52,LC4,DNp01
22922,10010,52,LC4,DNp01
515900,10197,52,LC4,DNp02
19420,10117,52,LC4,DNp02
21225,10001,52,LC4,DNp01
23226,10010,52,LC4,DNp01
17054,10117,52,LC4,DNp02
516909,16475,52,LC4,PVLP024
31262,10106,52,LC4,DNp11
16138,10001,52,LC4,DNp01
81112,16475,52,LC4,PVLP024
30087,10010,51,LC4,DNp01
27624,10010,51,LC4,DNp01
518730,10010,51,LC4,DNp01
18478,10017,51,LC4,AMMC-A1
18478,10197,51,LC4,DNp02
21721,10010,51,LC4,DNp01
17987,19454,51,LC4,PVLP024
37587,10010,51,LC4,DNp01
28980,10010,51,LC4,DNp01
34845,10010,51,LC4,DNp01
18189,10117,50,LC4,DNp02
33137,10197,50,LC4,DNp02
514508,10259,50,LC4,DNp11
18478,16475,50,LC4,PVLP024
17478,10020,50,LC4,AMMC-A1
17860,10001,50,LC4,DNp01
