body_pre,body_post,weight,source_type,target_type
18672,16659,126,LPLC2,PVLP011
20471,16659,117,LPLC2,PVLP011
21862,16659,116,LPLC2,PVLP011
24187,16659,111,LPLC2,PVLP011
24268,16659,111,LPLC2,PVLP011
21769,16659,103,LPLC2,PVLP011
21808,16659,102,LPLC2,PVLP011
19229,16659,101,LPLC2,PVLP011
19034,16659,101,LPLC2,PVLP011
17551,16659,98,LPLC2,PVLP011
19608,16659,97,LPLC2,PVLP011
21045,16659,95,LPLC2,PVLP011
23497,16659,93,LPLC2,PVLP011
23878,16659,93,LPLC2,PVLP011
26730,16659,92,LPLC2,PVLP011
29598,16659,91,LPLC2,PVLP011
39620,16659,90,LPLC2,PVLP011
23590,16659,90,LPLC2,PVLP011
25253,16659,89,LPLC2,PVLP011
28044,16659,89,LPLC2,PVLP011
20182,16659,89,LPLC2,PVLP011
20103,16659,89,LPLC2,PVLP011
18672,12951,88,LPLC2,PVLP069
19842,16659,87,LPLC2,PVLP011
20162,16659,86,LPLC2,PVLP011
19249,16659,86,LPLC2,PVLP011
518731,523564,85,LPLC2,PVLP011
33694,16659,84,LPLC2,PVLP011
29391,16659,83,LPLC2,PVLP011
20047,16659,83,LPLC2,PVLP011
21562,16659,83,LPLC2,PVLP011
26393,16659,82,LPLC2,PVLP011
19549,16659,82,LPLC2,PVLP011
24118,16659,81,LPLC2,PVLP011
20103,12951,81,LPLC2,PVLP069
30041,16659,80,LPLC2,PVLP011
514670,523564,79,LPLC2,PVLP011
515971,12427,79,LPLC2,PVLP069
34372,16659,79,LPLC2,PVLP011
35889,16659,78,LPLC2,PVLP011
20535,16659,78,LPLC2,PVLP011
29014,16659,78,LPLC2,PVLP011
33396,16659,78,LPLC2,PVLP011
19589,16659,78,LPLC2,PVLP011
20694,16659,77,LPLC2,PVLP011
37925,16659,77,LPLC2,PVLP011
13726,523564,77,LPLC2,PVLP011
13726,12427,76,LPLC2,PVLP069
518731,12427,76,LPLC2,PVLP069
25316,16659,76,LPLC2,PVLP011
25636,16659,75,LPLC2,PVLP011
20269,16659,75,LPLC2,PVLP011
31257,16659,75,LPLC2,PVLP011
18929,16659,74,LPLC2,PVLP011
29287,16659,74,LPLC2,PVLP011
20240,12427,73,LPLC2,PVLP069
27355,523564,73,LPLC2,PVLP011
26915,16659,73,LPLC2,PVLP011
