source_type,intermediate_type,descending_type,intermediate_neurons,path_instances,total_visual_to_intermediate_weight,total_intermediate_to_descending_weight
LPLC2,LPLC4,DNb05,97,97,3476,4712
LPLC2,LPLC4,DNp03,97,97,3476,3740
LPLC2,LPLC1,DNp03,107,107,270,2844
LPLC2,LPLC1,DNp35,107,107,270,2602
LC4,LPLC1,DNp03,95,95,188,2414
LPLC2,LPLC4,DNp57,95,95,3421,2354
LC4,LPLC1,DNp35,95,95,188,2327
LPLC2,LPLC4,DNp07,83,83,3134,2264
LPLC2,LPLC1,DNp06,107,107,270,2122
LPLC2,LPLC4,DNp31,95,95,3437,2022
LC4,LPLC4,DNb05,40,40,64,1991
LPLC2,CL213,DNg74_a,2,4,90,1830
LC4,LPLC1,DNp06,95,95,188,1817
LPLC2,LPLC4,DNp26,91,91,3348,1740
LC4,LPLC4,DNp03,40,40,64,1640
LPLC2,LPLC4,DNp05,83,83,3162,1431
LPLC2,LLPC2,DNp31,141,141,338,1412
LPLC2,LPLC4,DNbe001,72,94,3639,1394
LPLC2,PVLP123,DNp06,9,10,558,1382
LPLC2,LLPC3,DNa10,105,173,288,1331
LPLC2,LT51,DNg97,11,11,59,1283
LPLC2,LLPC2,DNb05,122,122,280,1232
LPLC2,LPLC4,pIP1,71,71,2680,1226
LC4,PVLP122,DNp01,6,11,9039,1216
LPLC2,PVLP122,DNp01,6,11,1939,1216
LC4,SAD064,DNp01,6,6,1732,1215
LPLC2,PVLP137,DNg100,2,4,648,1194
LC4,PVLP137,DNg100,2,4,1710,1194
LC4,PLP300m,DNg16,3,6,38,1181
LC4,LPLC4,DNp57,40,40,64,1156
LPLC2,LPLC4,DNg82,67,123,4745,1155
LC4,LC23,DNbe001,10,20,214,1137
LPLC2,LT51,DNb09,12,12,187,1129
LPLC2,LLPC1,DNbe001,99,99,199,1092
LPLC2,LPLC4,DNbe007,87,87,3250,1081
LC4,AN07B004,DNp104,2,4,12,1046
LC4,PVLP122,DNp06,6,10,7713,1018
LPLC2,PVLP122,DNp06,6,10,1923,1018
LC4,PLP300m,DNg100,3,6,38,1010
LC4,PVLP123,DNp06,6,7,479,1007
LC4,LT51,DNb09,11,11,18,994
LC4,LC9,DNp09,75,75,139,989
LC4,LC11,DNp35,70,70,97,986
LPLC2,CL286,DNp69,2,4,50,950
LPLC2,AVLP076,DNp35,2,2,12,946
LPLC2,LC31a,DNp35,28,28,124,928
LPLC2,VSm,DNg46,4,6,31,925
LC4,AVLP594,DNg30,2,4,4,925
LC4,LPLC4,DNp26,38,38,61,913
LPLC2,LHAD1g1,DNp06,2,2,2049,902
LC4,LHAD1g1,DNp06,2,2,555,902
LC4,AN07B004,DNp31,2,4,12,901
LPLC2,LC9,DNp09,55,55,87,895
LC4,LC31a,DNp35,27,27,60,894
LC4,SAD073,DNp01,3,6,24,888
LPLC2,LT51,DNa01,15,15,211,867
LC4,LPLC4,DNp05,38,38,61,861
LPLC2,LC31a,DNp06,28,28,124,858
LPLC2,LPLC1,DNp103,103,103,264,843
LC4,LC31a,DNp06,27,27,60,830
