body_pre,body_post,weight,source_type,descending_type
17054,10065,7,LC4,DNb05
20917,10065,6,LC4,DNb05
20859,10118,5,LC4,DNb05
511914,10118,2,LC4,DNb05
17340,10118,2,LC4,DNb05
22922,10118,2,LC4,DNb05
24523,10118,2,LC4,DNb05
19420,10065,1,LC4,DNb05
16628,10065,1,LC4,DNb05
514508,10118,1,LC4,DNb05
516909,10118,1,LC4,DNb05
19830,10342,3,LPLC2,DNc02
18478,10705,1,LC4,DNc02
12824,10705,1,LC4,DNc02
24187,10923,57,LPLC2,DNg40
39620,10923,48,LPLC2,DNg40
28044,10923,46,LPLC2,DNg40
28871,10923,44,LPLC2,DNg40
29391,10923,41,LPLC2,DNg40
21562,10923,41,LPLC2,DNg40
23590,10923,41,LPLC2,DNg40
24268,10923,40,LPLC2,DNg40
20269,10923,39,LPLC2,DNg40
23919,10361,37,LPLC2,DNg40
26147,10923,37,LPLC2,DNg40
25253,10923,36,LPLC2,DNg40
29287,10923,36,LPLC2,DNg40
35632,10923,35,LPLC2,DNg40
512366,10361,34,LC4,DNg40
31964,10923,34,LPLC2,DNg40
24401,10923,34,LPLC2,DNg40
23929,10923,33,LC4,DNg40
26393,10923,33,LPLC2,DNg40
31988,10923,33,LPLC2,DNg40
21862,10923,32,LPLC2,DNg40
35889,10923,31,LPLC2,DNg40
20471,10923,31,LPLC2,DNg40
33185,10923,31,LPLC2,DNg40
37925,10923,30,LPLC2,DNg40
33694,10923,30,LPLC2,DNg40
22966,10923,29,LC4,DNg40
31563,10361,29,LPLC2,DNg40
25572,10361,29,LPLC2,DNg40
29873,10923,29,LPLC2,DNg40
23550,10361,28,LPLC2,DNg40
29014,10923,28,LPLC2,DNg40
23878,10923,28,LPLC2,DNg40
25511,10923,28,LPLC2,DNg40
33396,10923,27,LPLC2,DNg40
33303,10361,27,LPLC2,DNg40
26915,10923,27,LPLC2,DNg40
25636,10923,27,LPLC2,DNg40
17608,10361,26,LC4,DNg40
27624,10361,26,LC4,DNg40
20162,10923,26,LPLC2,DNg40
29702,10361,26,LPLC2,DNg40
22253,10361,26,LPLC2,DNg40
26528,10361,26,LPLC2,DNg40
24118,10923,26,LPLC2,DNg40
23665,10361,26,LPLC2,DNg40
530029,10361,25,LC4,DNg40
521115,10361,25,LPLC2,DNg40
20182,10923,25,LPLC2,DNg40
514956,10361,24,LC4,DNg40
30480,10923,23,LC4,DNg40
29986,10923,23,LPLC2,DNg40
533895,10361,23,LPLC2,DNg40
35838,10923,23,LPLC2,DNg40
32507,10923,23,LPLC2,DNg40
30938,10923,23,LPLC2,DNg40
21808,10923,23,LPLC2,DNg40
30895,10361,23,LPLC2,DNg40
35680,10923,23,LPLC2,DNg40
12349,10361,22,LC4,DNg40
23497,10923,22,LPLC2,DNg40
27023,10361,22,LPLC2,DNg40
21804,10923,21,LC4,DNg40
32237,10361,21,LPLC2,DNg40
28741,10923,21,LPLC2,DNg40
520764,10361,21,LPLC2,DNg40
19608,10923,20,LPLC2,DNg40
19911,10361,20,LPLC2,DNg40
34110,10923,20,LPLC2,DNg40
27566,10923,20,LPLC2,DNg40
536444,10361,20,LPLC2,DNg40
15018,10361,19,LC4,DNg40
518439,10361,19,LC4,DNg40
30893,10361,19,LPLC2,DNg40
25497,10923,19,LPLC2,DNg40
24800,10923,19,LPLC2,DNg40
33439,10923,19,LPLC2,DNg40
22261,10923,19,LPLC2,DNg40
30041,10923,19,LPLC2,DNg40
27355,10361,19,LPLC2,DNg40
16917,10361,18,LC4,DNg40
18396,10361,18,LC4,DNg40
17987,10923,18,LC4,DNg40
37613,10923,18,LPLC2,DNg40
28011,10361,18,LPLC2,DNg40
38542,10923,18,LPLC2,DNg40
19034,10923,18,LPLC2,DNg40
29955,10361,18,LPLC2,DNg40
25209,10361,18,LPLC2,DNg40
50287,10923,18,LPLC2,DNg40
34845,10361,17,LC4,DNg40
31301,10361,17,LC4,DNg40
40841,10361,17,LPLC2,DNg40
29216,10923,17,LPLC2,DNg40
129687,10361,17,LPLC2,DNg40
134521,10361,17,LPLC2,DNg40
20329,10361,17,LPLC2,DNg40
531014,10361,17,LPLC2,DNg40
25524,10361,17,LPLC2,DNg40
20103,10923,17,LPLC2,DNg40
31262,10923,16,LC4,DNg40
527408,10923,16,LC4,DNg40
20282,10923,16,LC4,DNg40
27750,10361,16,LC4,DNg40
22975,10923,16,LC4,DNg40
19787,10361,16,LPLC2,DNg40
34051,10361,16,LPLC2,DNg40
28188,10361,16,LPLC2,DNg40
33406,10361,16,LPLC2,DNg40
29815,10361,16,LPLC2,DNg40
517819,10361,16,LPLC2,DNg40
20399,10923,15,LC4,DNg40
