body_post,descending_type,LC4,LPLC2,total_visual_weight,receives_both
531898,DNp04,6811.0,1957.0,8768.0,True
10010,DNp01,3782.0,2642.0,6424.0,True
11137,DNp04,4786.0,1441.0,6227.0,True
10001,DNp01,2580.0,2220.0,4800.0,True
10283,DNp103,183.0,2867.0,3050.0,True
10417,DNp103,152.0,2198.0,2350.0,True
10197,DNp02,2279.0,0.0,2279.0,False
10923,DNg40,446.0,1826.0,2272.0,True
10259,DNp11,2022.0,56.0,2078.0,True
10117,DNp02,1930.0,5.0,1935.0,True
10752,DNp03,1827.0,1.0,1828.0,True
10361,DNg40,534.0,1172.0,1706.0,True
10106,DNp11,1644.0,15.0,1659.0,True
10228,DNp06,705.0,886.0,1591.0,True
10584,DNp06,447.0,833.0,1280.0,True
10223,DNpe056,2.0,874.0,876.0,True
519771,DNp71,2.0,797.0,799.0,True
10732,DNpe056,5.0,745.0,750.0,True
524001,DNp05,702.0,15.0,717.0,True
10558,DNp35,213.0,481.0,694.0,True
10234,DNp35,251.0,439.0,690.0,True
10989,DNp03,680.0,0.0,680.0,False
10601,DNpe025,88.0,567.0,655.0,True
10449,DNpe025,133.0,511.0,644.0,True
11020,DNp05,601.0,24.0,625.0,True
11159,DNp71,0.0,398.0,398.0,False
10091,DNpe042,3.0,276.0,279.0,True
12628,DNpe042,0.0,246.0,246.0,False
11334,DNpe045,5.0,190.0,195.0,True
11573,DNpe021,166.0,0.0,166.0,False
10931,DNpe045,7.0,132.0,139.0,True
10590,DNpe052,0.0,114.0,114.0,False
575082,DNpe021,61.0,51.0,112.0,True
10244,DNp55,2.0,105.0,107.0,True
10783,DNp09,0.0,104.0,104.0,False
11133,DNp70,3.0,68.0,71.0,True
11088,DNp55,0.0,55.0,55.0,False
10580,DNp70,14.0,36.0,50.0,True
10296,DNge054,4.0,33.0,37.0,True
10377,DNge054,4.0,30.0,34.0,True
10957,DNp69,16.0,17.0,33.0,True
11632,DNpe052,0.0,31.0,31.0,False
536048,DNp27,5.0,18.0,23.0,True
10063,DNp27,4.0,18.0,22.0,True
33037,DNp69,17.0,2.0,19.0,True
10118,DNb05,15.0,0.0,15.0,False
10065,DNb05,15.0,0.0,15.0,False
11290,DNp66,9.0,0.0,9.0,False
10030,pIP1,8.0,0.0,8.0,False
10713,DNp42,7.0,0.0,7.0,False
11177,DNp09,0.0,7.0,7.0,False
10280,DNp47,5.0,1.0,6.0,True
522345,DNpe037,0.0,5.0,5.0,False
11513,DNp07,4.0,0.0,4.0,False
506334,DNp42,4.0,0.0,4.0,False
11063,DNge032,0.0,4.0,4.0,False
10342,DNc02,0.0,3.0,3.0,False
10068,DNp30,2.0,0.0,2.0,False
12218,DNpe031,0.0,2.0,2.0,False
10143,DNp30,2.0,0.0,2.0,False
10705,DNc02,2.0,0.0,2.0,False
12222,DNpe031,0.0,1.0,1.0,False
10038,pIP1,1.0,0.0,1.0,False
