bodyId_pre,pre_type,pre_side,bodyId_post,post_type,post_side,weight
518439,LC4,left,10010,DNp01,left,82
17478,LC4,left,10010,DNp01,left,76
29469,LC4,left,10010,DNp01,left,73
20859,LC4,left,10010,DNp01,left,72
32597,LC4,left,10010,DNp01,left,69
533129,LC4,left,10010,DNp01,left,67
22847,LC4,right,10001,DNp01,right,66
17653,LC4,left,10010,DNp01,left,66
16128,LC4,right,10001,DNp01,right,65
512366,LC4,left,10010,DNp01,left,65
31563,LPLC2,left,10010,DNp01,left,64
515476,LC4,left,10010,DNp01,left,64
27829,LC4,left,10010,DNp01,left,64
24338,LC4,right,10001,DNp01,right,63
17668,LC4,right,10001,DNp01,right,63
12032,LC4,left,10010,DNp01,left,62
530029,LC4,left,10010,DNp01,left,62
22772,LC4,left,10010,DNp01,left,62
16917,LC4,left,10010,DNp01,left,62
20399,LC4,right,10001,DNp01,right,62
12349,LC4,left,10010,DNp01,left,62
31301,LC4,left,10010,DNp01,left,61
524899,LC4,left,10010,DNp01,left,61
35616,LC4,left,10010,DNp01,left,61
22966,LC4,right,10001,DNp01,right,61
22253,LPLC2,left,10010,DNp01,left,60
514956,LC4,left,10010,DNp01,left,60
18396,LC4,left,10010,DNp01,left,59
27750,LC4,left,10010,DNp01,left,59
20182,LPLC2,right,10001,DNp01,right,59
22194,LC4,right,10001,DNp01,right,59
100485,LC4,left,10010,DNp01,left,58
22975,LC4,right,10001,DNp01,right,58
29514,LC4,left,10010,DNp01,left,58
30803,LC4,right,10001,DNp01,right,57
20976,LC4,left,10010,DNp01,left,57
17270,LC4,left,10010,DNp01,left,57
18478,LC4,left,10010,DNp01,left,57
18127,LC4,right,10001,DNp01,right,57
23929,LC4,right,10001,DNp01,right,56
35262,LC4,left,10010,DNp01,left,56
19634,LC4,right,10001,DNp01,right,56
23392,LC4,right,10001,DNp01,right,56
81112,LC4,left,10010,DNp01,left,55
19787,LPLC2,left,10010,DNp01,left,55
14888,LC4,left,10010,DNp01,left,55
20572,LC4,left,10010,DNp01,left,55
517752,LC4,left,10010,DNp01,left,55
21336,LC4,right,10001,DNp01,right,55
511914,LC4,left,10010,DNp01,left,54
515900,LC4,left,10010,DNp01,left,54
22557,LPLC2,left,10010,DNp01,left,54
20269,LPLC2,right,10001,DNp01,right,53
512705,LC4,left,10010,DNp01,left,53
26112,LC4,right,10001,DNp01,right,53
16628,LC4,right,10001,DNp01,right,53
23226,LC4,left,10010,DNp01,left,52
77614,LC4,left,10010,DNp01,left,52
23792,LC4,right,10001,DNp01,right,52
16138,LC4,right,10001,DNp01,right,52
21225,LC4,right,10001,DNp01,right,52
22922,LC4,left,10010,DNp01,left,52
18432,LC4,left,10010,DNp01,left,52
34845,LC4,left,10010,DNp01,left,51
21721,LC4,left,10010,DNp01,left,51
28980,LC4,left,10010,DNp01,left,51
27624,LC4,left,10010,DNp01,left,51
518730,LC4,left,10010,DNp01,left,51
37587,LC4,left,10010,DNp01,left,51
30087,LC4,left,10010,DNp01,left,51
111903,LPLC2,left,10228,DNp06,left,51
533895,LPLC2,left,10010,DNp01,left,50
17860,LC4,right,10001,DNp01,right,50
19608,LPLC2,right,10001,DNp01,right,49
19543,LC4,right,10001,DNp01,right,49
17364,LC4,right,10001,DNp01,right,48
24187,LPLC2,right,10001,DNp01,right,48
20103,LPLC2,right,10001,DNp01,right,48
21804,LC4,right,10001,DNp01,right,48
25854,LPLC2,left,10010,DNp01,left,48
17926,LC4,right,10001,DNp01,right,48
518731,LPLC2,left,10010,DNp01,left,48
527408,LC4,right,10001,DNp01,right,47
23919,LPLC2,left,10010,DNp01,left,47
20047,LPLC2,right,10001,DNp01,right,47
21562,LPLC2,right,10001,DNp01,right,47
516909,LC4,left,10010,DNp01,left,47
17266,LC4,right,10001,DNp01,right,47
20542,LC4,right,10001,DNp01,right,47
518544,LC4,left,10010,DNp01,left,47
24401,LPLC2,right,10001,DNp01,right,47
17544,LPLC2,left,10228,DNp06,left,47
22328,LC4,right,10001,DNp01,right,47
518983,LC4,left,10010,DNp01,left,46
520764,LPLC2,left,10010,DNp01,left,46
20799,LPLC2,left,10010,DNp01,left,46
23878,LPLC2,right,10001,DNp01,right,46
519650,LC4,left,10010,DNp01,left,46
18189,LC4,right,10001,DNp01,right,46
30480,LC4,right,10001,DNp01,right,45
31429,LC4,left,10010,DNp01,left,45
20016,LC4,right,10001,DNp01,right,45
515971,LPLC2,left,10010,DNp01,left,45
20440,LC4,left,10010,DNp01,left,45
20162,LPLC2,right,10001,DNp01,right,45
19420,LC4,right,10001,DNp01,right,45
19794,LC4,right,10001,DNp01,right,44
31964,LPLC2,right,10001,DNp01,right,44
517819,LPLC2,left,10010,DNp01,left,44
12824,LC4,left,10010,DNp01,left,44
17608,LC4,left,10010,DNp01,left,44
17775,LPLC2,left,10010,DNp01,left,44
31308,LC4,left,10010,DNp01,left,43
23665,LPLC2,left,10010,DNp01,left,43
28044,LPLC2,right,10001,DNp01,right,43
13726,LPLC2,left,10010,DNp01,left,43
20588,LC4,right,10001,DNp01,right,43
25524,LPLC2,left,10010,DNp01,left,43
20673,LC4,right,10001,DNp01,right,43
21287,LC4,right,10001,DNp01,right,43
517079,LPLC2,left,10010,DNp01,left,43
20917,LC4,right,10001,DNp01,right,42
20808,LC4,right,10001,DNp01,right,42
520449,LC4,left,10010,DNp01,left,42
22034,LC4,right,10001,DNp01,right,42
28945,LC4,right,10001,DNp01,right,42
26147,LPLC2,right,10001,DNp01,right,42
24523,LC4,left,10010,DNp01,left,42
24800,LPLC2,right,10001,DNp01,right,41
21313,LC4,right,10001,DNp01,right,41
514508,LC4,left,10010,DNp01,left,41
28871,LPLC2,right,10001,DNp01,right,41
29417,LC4,left,10010,DNp01,left,41
23349,LPLC2,left,10010,DNp01,left,41
23497,LPLC2,right,10001,DNp01,right,41
20240,LPLC2,left,10010,DNp01,left,41
33185,LPLC2,right,10001,DNp01,right,41
15018,LC4,left,10010,DNp01,left,40
29563,LC4,right,10001,DNp01,right,40
18936,LPLC2,left,10010,DNp01,left,40
34407,LPLC2,left,10010,DNp01,left,40
21151,LC4,right,10001,DNp01,right,40
521115,LPLC2,left,10010,DNp01,left,40
16809,LC4,left,10010,DNp01,left,40
25286,LPLC2,left,10228,DNp06,left,40
518016,LC4,left,10010,DNp01,left,39
33137,LC4,left,10010,DNp01,left,39
17987,LC4,right,10001,DNp01,right,39
107513,LC4,left,10010,DNp01,left,39
20471,LPLC2,right,10001,DNp01,right,39
41097,LPLC2,left,10010,DNp01,left,39
24568,LPLC2,left,10010,DNp01,left,39
24840,LPLC2,left,10010,DNp01,left,38
35889,LPLC2,right,10001,DNp01,right,38
21808,LPLC2,right,10001,DNp01,right,38
19954,LC4,right,10001,DNp01,right,38
17990,LPLC2,left,10010,DNp01,left,38
18900,LPLC2,left,10010,DNp01,left,38
23202,LC4,left,10010,DNp01,left,38
26528,LPLC2,left,10010,DNp01,left,38
20535,LPLC2,right,10001,DNp01,right,37
17551,LPLC2,right,10001,DNp01,right,37
22261,LPLC2,right,10001,DNp01,right,37
19830,LPLC2,left,10228,DNp06,left,37
514670,LPLC2,left,10010,DNp01,left,37
17054,LC4,right,10001,DNp01,right,37
18672,LPLC2,right,10001,DNp01,right,36
100103,LPLC2,left,10010,DNp01,left,36
536444,LPLC2,left,10010,DNp01,left,36
26393,LPLC2,right,10001,DNp01,right,36
20967,LC4,left,10010,DNp01,left,36
20329,LPLC2,left,10010,DNp01,left,36
28188,LPLC2,left,10010,DNp01,left,36
38065,LC4,right,10001,DNp01,right,36
31262,LC4,right,10001,DNp01,right,36
33406,LPLC2,left,10010,DNp01,left,35
519931,LC4,left,10010,DNp01,left,35
26730,LPLC2,right,10584,DNp06,right,35
20282,LC4,right,10001,DNp01,right,35
24118,LPLC2,right,10001,DNp01,right,35
17548,LC4,right,10001,DNp01,right,35
19229,LPLC2,right,10001,DNp01,right,34
21361,LPLC2,left,10010,DNp01,left,34
19146,LPLC2,right,10001,DNp01,right,34
532254,LC4,left,10010,DNp01,left,34
17340,LC4,left,10010,DNp01,left,33
15804,LPLC2,left,10010,DNp01,left,33
23590,LPLC2,right,10001,DNp01,right,33
34655,LPLC2,left,10010,DNp01,left,33
32737,LPLC2,left,10010,DNp01,left,33
29702,LPLC2,left,10010,DNp01,left,33
25253,LPLC2,right,10001,DNp01,right,32
25497,LPLC2,right,10001,DNp01,right,32
526286,LC4,left,10010,DNp01,left,32
535341,LC4,left,10010,DNp01,left,32
23098,LC4,right,10001,DNp01,right,32
29391,LPLC2,right,10001,DNp01,right,32
23550,LPLC2,left,10010,DNp01,left,31
23247,LPLC2,left,10010,DNp01,left,31
30893,LPLC2,left,10228,DNp06,left,31
21165,LC4,right,10001,DNp01,right,31
29014,LPLC2,right,10001,DNp01,right,31
27716,LPLC2,left,10010,DNp01,left,30
27355,LPLC2,left,10010,DNp01,left,30
111787,LC4,left,10010,DNp01,left,30
21862,LPLC2,right,10001,DNp01,right,30
24308,LPLC2,left,10228,DNp06,left,30
25572,LPLC2,left,10010,DNp01,left,30
25584,LC4,right,10001,DNp01,right,30
19260,LC4,right,10001,DNp01,right,30
