bodyId,type,instance,side,predictedNt,status
10010,DNp01,DNp01(GF)_L,left,acetylcholine,Traced
10001,DNp01,DNp01(GF)_R,right,acetylcholine,Traced
10228,DNp06,DNp06_L,left,acetylcholine,Traced
10584,DNp06,DNp06_R,right,acetylcholine,Traced
12032,LC4,LC4_L,left,acetylcholine,Traced
12349,LC4,LC4_L,left,acetylcholine,Traced
12824,LC4,LC4_L,left,acetylcholine,Traced
14888,LC4,LC4_L,left,acetylcholine,Traced
15018,LC4,LC4_L,left,acetylcholine,Traced
16809,LC4,LC4_L,left,acetylcholine,Traced
16917,LC4,LC4_L,left,acetylcholine,Traced
17270,LC4,LC4_L,left,acetylcholine,Traced
17340,LC4,LC4_L,left,acetylcholine,Traced
17478,LC4,LC4_L,left,acetylcholine,Traced
17608,LC4,LC4_L,left,acetylcholine,Traced
17653,LC4,LC4_L,left,acetylcholine,Traced
18396,LC4,LC4_L,left,acetylcholine,Traced
18432,LC4,LC4_L,left,acetylcholine,Traced
18478,LC4,LC4_L,left,acetylcholine,Traced
20440,LC4,LC4_L,left,acetylcholine,Traced
20572,LC4,LC4_L,left,acetylcholine,Traced
20859,LC4,LC4_L,left,acetylcholine,Traced
20967,LC4,LC4_L,left,acetylcholine,Traced
20976,LC4,LC4_L,left,acetylcholine,Traced
21721,LC4,LC4_L,left,acetylcholine,Traced
22772,LC4,LC4_L,left,acetylcholine,Traced
22922,LC4,LC4_L,left,acetylcholine,Traced
23202,LC4,LC4_L,left,acetylcholine,Traced
23226,LC4,LC4_L,left,acetylcholine,Traced
24523,LC4,LC4_L,left,acetylcholine,Traced
27624,LC4,LC4_L,left,acetylcholine,Traced
27750,LC4,LC4_L,left,acetylcholine,Traced
27829,LC4,LC4_L,left,acetylcholine,Traced
28980,LC4,LC4_L,left,acetylcholine,Traced
29417,LC4,LC4_L,left,acetylcholine,Traced
29469,LC4,LC4_L,left,acetylcholine,Traced
29514,LC4,LC4_L,left,acetylcholine,Traced
30087,LC4,LC4_L,left,acetylcholine,Traced
31301,LC4,LC4_L,left,acetylcholine,Traced
31308,LC4,LC4_L,left,acetylcholine,Traced
31429,LC4,LC4_L,left,acetylcholine,Traced
32597,LC4,LC4_L,left,acetylcholine,Traced
33137,LC4,LC4_L,left,acetylcholine,Traced
34845,LC4,LC4_L,left,acetylcholine,Traced
35262,LC4,LC4_L,left,acetylcholine,Traced
35616,LC4,LC4_L,left,acetylcholine,Traced
37587,LC4,LC4_L,left,acetylcholine,Traced
77614,LC4,LC4_L,left,acetylcholine,Traced
81112,LC4,LC4_L,left,acetylcholine,Traced
100485,LC4,LC4_L,left,acetylcholine,Traced
107513,LC4,LC4_L,left,acetylcholine,Traced
111787,LC4,LC4_L,left,acetylcholine,Traced
511914,LC4,LC4_L,left,acetylcholine,Traced
512366,LC4,LC4_L,left,acetylcholine,Traced
512705,LC4,LC4_L,left,acetylcholine,Traced
514508,LC4,LC4_L,left,acetylcholine,Traced
