bodyId,type,somaSide,instance,status,LC4_weight_w1,LPLC2_weight_w1,total_visual_weight_w1,total_incoming_weight,visual_share_w1,LC4_fraction_visual_w1,LPLC2_fraction_visual_w1,LC4_presynaptic_count_w1,LPLC2_presynaptic_count_w1,direct_visual_partners_w1,ipsilateral_visual_weight_w1,contralateral_visual_weight_w1,receives_both_w1,rank_total_visual_w1,rank_visual_share_w1,rank_LC4_w1,rank_LPLC2_w1,LC4_weight_w3,LPLC2_weight_w3,total_visual_weight_w3,visual_share_w3,LC4_fraction_visual_w3,LPLC2_fraction_visual_w3,LC4_presynaptic_count_w3,LPLC2_presynaptic_count_w3,direct_visual_partners_w3,ipsilateral_visual_weight_w3,contralateral_visual_weight_w3,receives_both_w3,rank_total_visual_w3,rank_visual_share_w3,rank_LC4_w3,rank_LPLC2_w3,LC4_weight_w10,LPLC2_weight_w10,total_visual_weight_w10,visual_share_w10,LC4_fraction_visual_w10,LPLC2_fraction_visual_w10,LC4_presynaptic_count_w10,LPLC2_presynaptic_count_w10,direct_visual_partners_w10,ipsilateral_visual_weight_w10,contralateral_visual_weight_w10,receives_both_w10,rank_total_visual_w10,rank_visual_share_w10,rank_LC4_w10,rank_LPLC2_w10,total_incoming_edges,predicted_nt,predicted_nt_confidence,consensus_nt
531898,DNp04,L,DNp04_L,Traced,6811,1957,8768,12604,0.6956521739130435,0.7768020072992701,0.22319799270072993,71,94,165,8768,0,True,1,1,1,5,6811,1957,8768,0.6956521739130435,0.7768020072992701,0.22319799270072993,71,94,165,8768,0,True,1,1,1,5,6811,1808,8619,0.6838305299904792,0.7902308852535097,0.20976911474649032,71,74,145,8619,0,True,1,1,1,5,1042,acetylcholine,0.961419260534768,acetylcholine
10010,DNp01,L,DNp01(GF)_L,Traced,3782,2642,6424,24896,0.25803341902313626,0.5887297633872977,0.41127023661270234,71,94,165,6424,0,True,2,4,3,2,3782,2640,6422,0.2579530848329049,0.5889131111803176,0.41108688881968236,71,93,164,6422,0,True,2,4,3,2,3782,2578,6360,0.25546272493573263,0.5946540880503145,0.40534591194968556,71,84,155,6360,0,True,2,3,3,2,3407,acetylcholine,0.557140683373016,acetylcholine
11137,DNp04,R,DNp04_R,Traced,4786,1441,6227,9326,0.667703195367789,0.7685884053316203,0.23141159466837963,55,91,146,6227,0,True,3,2,2,7,4786,1431,6217,0.6666309242976625,0.7698246742801994,0.23017532571980054,55,84,139,6217,0,True,3,2,2,7,4786,1260,6046,0.6482950889984989,0.7915977505788951,0.20840224942110486,55,60,115,6046,0,True,3,2,2,7,877,acetylcholine,0.966145372598192,acetylcholine
10001,DNp01,R,DNp01(GF)_R,Traced,2580,2220,4800,18582,0.2583144979011947,0.5375,0.4625,55,91,146,4800,0,True,4,3,4,3,2580,2218,4798,0.25820686686040256,0.5377240516882034,0.4622759483117966,55,89,144,4798,0,True,4,3,4,3,2580,2132,4712,0.25357873210633947,0.5475382003395586,0.4524617996604414,55,74,129,4712,0,True,4,4,4,4,2394,acetylcholine,0.5004955542656235,acetylcholine
10283,DNp103,R,DNp103(PVLP119)_R,Traced,183,2867,3050,29105,0.10479299089503522,0.06,0.94,45,91,136,3050,0,True,5,16,19,1,167,2867,3034,0.10424325717230716,0.05504284772577456,0.9449571522742255,34,91,125,3034,0,True,5,16,19,1,13,2867,2880,0.09895207009104964,0.0045138888888888885,0.9954861111111111,1,91,92,2880,0,True,5,12,20,1,2877,acetylcholine,0.9568302517284742,acetylcholine
10417,DNp103,L,DNp103(PVLP119)_L,Traced,152,2198,2350,27113,0.08667428908641611,0.06468085106382979,0.9353191489361702,48,94,142,2350,0,True,6,18,21,4,123,2198,2321,0.08560469147641353,0.05299439896596295,0.9470056010340371,27,94,121,2321,0,True,6,18,21,4,0,2189,2189,0.08073617821709143,0.0,1.0,0,93,93,2189,0,False,7,17,22,3,2903,acetylcholine,0.9518838304213051,acetylcholine
10197,DNp02,L,DNp02_L,Traced,2279,0,2279,9375,0.24309333333333333,1.0,0.0,71,0,71,2279,0,False,7,5,5,50,2279,0,2279,0.24309333333333333,1.0,0.0,71,0,71,2279,0,False,7,5,5,40,2240,0,2240,0.23893333333333333,1.0,0.0,65,0,65,2240,0,False,6,5,5,25,1402,acetylcholine,0.9159098167097302,acetylcholine
10923,DNg40,R,DNg40(hb5813056435)_R,Traced,446,1826,2272,10614,0.2140569059732429,0.19630281690140844,0.8036971830985915,51,87,138,2272,0,True,8,7,16,6,434,1815,2249,0.21188995666101376,0.19297465540240108,0.8070253445975989,42,79,121,2249,0,True,8,7,16,6,299,1751,2050,0.19314113435085736,0.14585365853658536,0.8541463414634146,18,70,88,2050,0,True,8,7,15,6,1135,glutamate,0.6188473742734429,glutamate
10259,DNp11,L,DNp11_L,Traced,2022,56,2078,12792,0.16244527829893685,0.973051010587103,0.026948989412897015,69,26,95,2078,0,True,9,9,6,27,2015,33,2048,0.16010006253908693,0.98388671875,0.01611328125,65,9,74,2048,0,True,9,9,6,27,1929,0,1929,0.15079737335834897,1.0,0.0,51,0,51,1929,0,False,9,9,6,25,2403,acetylcholine,0.9347718335345766,acetylcholine
10117,DNp02,R,DNp02_R,Traced,1930,5,1935,8921,0.21690393453648693,0.9974160206718347,0.002583979328165375,54,4,58,1935,0,True,10,6,7,41,1930,0,1930,0.21634345925344692,1.0,0.0,54,0,54,1930,0,False,10,6,7,40,1894,0,1894,0.2123080372155588,1.0,0.0,49,0,49,1894,0,False,10,6,7,25,1256,acetylcholine,0.8450423680625282,acetylcholine
