bodyId,type,somaSide,instance,status,LC4_weight,LPLC2_weight,total_visual_weight,total_incoming_weight,visual_share,LC4_fraction_visual,LPLC2_fraction_visual,LC4_presynaptic_count,LPLC2_presynaptic_count,direct_visual_partners,ipsilateral_visual_weight,contralateral_visual_weight,receives_both,rank_total_visual,rank_visual_share,rank_LC4,rank_LPLC2
531898,DNp04,L,DNp04_L,Traced,6811,1808,8619,12604,0.6838305299904792,0.7902308852535097,0.20976911474649032,71,74,145,8619,0,True,1,1,1,5
10010,DNp01,L,DNp01(GF)_L,Traced,3782,2578,6360,24896,0.25546272493573263,0.5946540880503145,0.40534591194968556,71,84,155,6360,0,True,2,3,3,2
11137,DNp04,R,DNp04_R,Traced,4786,1260,6046,9326,0.6482950889984989,0.7915977505788951,0.20840224942110486,55,60,115,6046,0,True,3,2,2,7
10001,DNp01,R,DNp01(GF)_R,Traced,2580,2132,4712,18582,0.25357873210633947,0.5475382003395586,0.4524617996604414,55,74,129,4712,0,True,4,4,4,4
10283,DNp103,R,DNp103(PVLP119)_R,Traced,13,2867,2880,29105,0.09895207009104964,0.0045138888888888885,0.9954861111111111,1,91,92,2880,0,True,5,12,20,1
10197,DNp02,L,DNp02_L,Traced,2240,0,2240,9375,0.23893333333333333,1.0,0.0,65,0,65,2240,0,False,6,5,5,25
10417,DNp103,L,DNp103(PVLP119)_L,Traced,0,2189,2189,27113,0.08073617821709143,0.0,1.0,0,93,93,2189,0,False,7,17,22,3
10923,DNg40,R,DNg40(hb5813056435)_R,Traced,299,1751,2050,10614,0.19314113435085736,0.14585365853658536,0.8541463414634146,18,70,88,2050,0,True,8,7,15,6
10259,DNp11,L,DNp11_L,Traced,1929,0,1929,12792,0.15079737335834897,1.0,0.0,51,0,51,1929,0,False,9,9,6,25
10117,DNp02,R,DNp02_R,Traced,1894,0,1894,8921,0.2123080372155588,1.0,0.0,49,0,49,1894,0,False,10,6,7,25
10752,DNp03,L,DNp03_L,Traced,1819,0,1819,11492,0.15828402366863906,1.0,0.0,70,0,70,1819,0,False,11,8,8,25
10106,DNp11,R,DNp11_R,Traced,1563,0,1563,11406,0.13703314045239348,1.0,0.0,39,0,39,1563,0,False,12,11,9,25
10361,DNg40,L,DNg40(hb5813056435)_L,Traced,357,1003,1360,9198,0.14785823005001086,0.2625,0.7375,19,56,75,1360,0,True,13,10,14,8
10228,DNp06,L,DNp06_L,Traced,476,614,1090,23365,0.04665097367857907,0.43669724770642204,0.563302752293578,31,34,65,1090,0,True,14,20,13,10
10584,DNp06,R,DNp06_R,Traced,222,566,788,20242,0.038928959588973425,0.2817258883248731,0.7182741116751269,19,36,55,788,0,True,15,22,16,11
10223,DNpe056,L,DNpe056(PVLP146)_L,Traced,0,677,677,7562,0.0895265802697699,0.0,1.0,0,44,44,677,0,False,16,15,22,9
524001,DNp05,L,DNp05_L,Traced,604,0,604,6281,0.09616303136443241,1.0,0.0,32,0,32,604,0,False,17,13,10,25
10989,DNp03,R,DNp03_R,Traced,546,0,546,8831,0.06182765258747594,1.0,0.0,35,0,35,546,0,False,18,19,11,25
519771,DNp71,L,DNp71(DNp09)_L,Traced,0,525,525,6034,0.08700696055684455,0.0,1.0,0,37,37,525,0,False,19,16,22,12
11020,DNp05,R,DNp05_R,Traced,520,0,520,5778,0.08999653859466944,1.0,0.0,26,0,26,520,0,False,20,14,12,25
10732,DNpe056,R,DNpe056(PVLP146)_R,Traced,0,513,513,7879,0.06510978550577484,0.0,1.0,0,34,34,513,0,False,21,18,22,13
10601,DNpe025,R,DNpe025(PVLP145)_R,Traced,20,362,382,8427,0.04533048534472529,0.05235602094240838,0.9476439790575916,2,21,23,382,0,True,22,21,19,14
10449,DNpe025,L,DNpe025(PVLP145)_L,Traced,0,305,305,8385,0.03637447823494335,0.0,1.0,0,19,19,305,0,False,23,23,22,15
10558,DNp35,R,DNp35(PVLP136)_R,Traced,53,144,197,18447,0.010679243237382773,0.26903553299492383,0.7309644670050761,5,11,16,197,0,True,24,25,17,17
11159,DNp71,R,DNp71(DNp09)_R,Traced,0,161,161,5779,0.02785949126146392,0.0,1.0,0,13,13,161,0,False,25,24,22,16
10234,DNp35,L,DNp35(PVLP136)_L,Traced,34,118,152,17658,0.008607996375580473,0.2236842105263158,0.7763157894736842,2,8,10,152,0,True,26,26,18,18
10091,DNpe042,L,DNpe042(CL262)_L,Traced,0,57,57,15908,0.0035831028413376917,0.0,1.0,0,5,5,57,0,False,27,28,22,19
10783,DNp09,L,DNp09_L,Traced,0,36,36,8640,0.004166666666666667,0.0,1.0,0,3,3,36,0,False,28,27,22,20
11334,DNpe045,R,DNpe045(DNp23)_R,Traced,0,23,23,7380,0.0031165311653116533,0.0,1.0,0,2,2,23,0,False,29,29,22,21
10931,DNpe045,L,DNpe045(DNp23)_L,Traced,0,21,21,7994,0.002626970227670753,0.0,1.0,0,2,2,21,0,False,30,30,22,22
12628,DNpe042,R,DNpe042(CL262)_R,Traced,0,12,12,17140,0.0007001166861143524,0.0,1.0,0,1,1,12,0,False,31,33,22,23
