pre_bodyId,pre_type,pre_side,post_bodyId,post_type,post_side,weight,source_population,target_population,is_ipsilateral,survives_w3,survives_w10
81112,LC4,L,531898,DNp04,L,172,LC4,DNp04,True,True,True
12349,LC4,L,531898,DNp04,L,160,LC4,DNp04,True,True,True
515900,LC4,L,531898,DNp04,L,158,LC4,DNp04,True,True,True
17054,LC4,R,11137,DNp04,R,154,LC4,DNp04,True,True,True
512366,LC4,L,531898,DNp04,L,154,LC4,DNp04,True,True,True
27624,LC4,L,531898,DNp04,L,148,LC4,DNp04,True,True,True
17653,LC4,L,531898,DNp04,L,147,LC4,DNp04,True,True,True
24523,LC4,L,531898,DNp04,L,141,LC4,DNp04,True,True,True
17548,LC4,R,11137,DNp04,R,132,LC4,DNp04,True,True,True
14888,LC4,L,531898,DNp04,L,132,LC4,DNp04,True,True,True
37587,LC4,L,531898,DNp04,L,132,LC4,DNp04,True,True,True
520449,LC4,L,531898,DNp04,L,132,LC4,DNp04,True,True,True
17340,LC4,L,531898,DNp04,L,131,LC4,DNp04,True,True,True
518439,LC4,L,531898,DNp04,L,129,LC4,DNp04,True,True,True
16128,LC4,R,11137,DNp04,R,128,LC4,DNp04,True,True,True
77614,LC4,L,531898,DNp04,L,128,LC4,DNp04,True,True,True
530029,LC4,L,531898,DNp04,L,128,LC4,DNp04,True,True,True
21804,LC4,R,11137,DNp04,R,126,LC4,DNp04,True,True,True
17478,LC4,L,531898,DNp04,L,125,LC4,DNp04,True,True,True
31262,LC4,R,11137,DNp04,R,123,LC4,DNp04,True,True,True
23929,LC4,R,11137,DNp04,R,122,LC4,DNp04,True,True,True
16809,LC4,L,531898,DNp04,L,120,LC4,DNp04,True,True,True
17987,LC4,R,11137,DNp04,R,119,LC4,DNp04,True,True,True
16628,LC4,R,11137,DNp04,R,118,LC4,DNp04,True,True,True
20859,LC4,L,531898,DNp04,L,111,LC4,DNp04,True,True,True
518983,LC4,L,531898,DNp04,L,111,LC4,DNp04,True,True,True
511914,LC4,L,531898,DNp04,L,110,LC4,DNp04,True,True,True
20282,LC4,R,11137,DNp04,R,109,LC4,DNp04,True,True,True
12824,LC4,L,531898,DNp04,L,108,LC4,DNp04,True,True,True
518730,LC4,L,531898,DNp04,L,108,LC4,DNp04,True,True,True
27750,LC4,L,531898,DNp04,L,107,LC4,DNp04,True,True,True
19543,LC4,R,11137,DNp04,R,106,LC4,DNp04,True,True,True
19550,LC4,R,11137,DNp04,R,106,LC4,DNp04,True,True,True
17608,LC4,L,531898,DNp04,L,106,LC4,DNp04,True,True,True
27829,LC4,L,531898,DNp04,L,106,LC4,DNp04,True,True,True
34845,LC4,L,531898,DNp04,L,106,LC4,DNp04,True,True,True
20917,LC4,R,11137,DNp04,R,104,LC4,DNp04,True,True,True
15018,LC4,L,531898,DNp04,L,104,LC4,DNp04,True,True,True
19954,LC4,R,11137,DNp04,R,101,LC4,DNp04,True,True,True
17364,LC4,R,11137,DNp04,R,100,LC4,DNp04,True,True,True
17608,LC4,L,10259,DNp11,L,99,LC4,DNp11,True,True,True
20588,LC4,R,11137,DNp04,R,99,LC4,DNp04,True,True,True
20967,LC4,L,531898,DNp04,L,99,LC4,DNp04,True,True,True
514956,LC4,L,531898,DNp04,L,99,LC4,DNp04,True,True,True
526286,LC4,L,531898,DNp04,L,99,LC4,DNp04,True,True,True
111787,LC4,L,531898,DNp04,L,97,LC4,DNp04,True,True,True
19794,LC4,R,11137,DNp04,R,96,LC4,DNp04,True,True,True
20542,LC4,R,11137,DNp04,R,94,LC4,DNp04,True,True,True
22847,LC4,R,11137,DNp04,R,94,LC4,DNp04,True,True,True
30087,LC4,L,531898,DNp04,L,93,LC4,DNp04,True,True,True
17926,LC4,R,11137,DNp04,R,92,LC4,DNp04,True,True,True
18432,LC4,L,531898,DNp04,L,92,LC4,DNp04,True,True,True
32597,LC4,L,531898,DNp04,L,92,LC4,DNp04,True,True,True
29469,LC4,L,531898,DNp04,L,91,LC4,DNp04,True,True,True
527408,LC4,R,11137,DNp04,R,90,LC4,DNp04,True,True,True
33137,LC4,L,531898,DNp04,L,90,LC4,DNp04,True,True,True
18127,LC4,R,11137,DNp04,R,89,LC4,DNp04,True,True,True
25584,LC4,R,11137,DNp04,R,89,LC4,DNp04,True,True,True
18478,LC4,L,531898,DNp04,L,89,LC4,DNp04,True,True,True
26112,LC4,R,11137,DNp04,R,88,LC4,DNp04,True,True,True
21313,LC4,R,11137,DNp04,R,87,LC4,DNp04,True,True,True
22034,LC4,R,11137,DNp04,R,87,LC4,DNp04,True,True,True
17270,LC4,L,531898,DNp04,L,87,LC4,DNp04,True,True,True
17478,LC4,L,10010,DNp01,L,86,LC4,DNp01,True,True,True
22975,LC4,R,11137,DNp04,R,86,LC4,DNp04,True,True,True
30803,LC4,R,11137,DNp04,R,86,LC4,DNp04,True,True,True
18396,LC4,L,531898,DNp04,L,86,LC4,DNp04,True,True,True
23202,LC4,L,531898,DNp04,L,86,LC4,DNp04,True,True,True
