intermediate_bodyId,intermediate_type,intermediate_side,LC4_input_weight,LPLC2_input_weight,total_visual_input_weight,total_incoming_weight,visual_input_share,output_weight_to_candidate_dns,num_downstream_candidate_dns,path_score_product,min_path_capacity,predicted_nt,predicted_nt_confidence,survives_w3,survives_w10
10074,PVLP010,L,1238,19,1257,19542.0,0.06432299662265889,1710,30,2149470,1257,glutamate,0.6151948465501277,True,True
10297,LHAD1g1,R,322,974,1296,29542.0,0.04386974477015774,1636,26,2120256,1296,gaba,0.8023775371779839,True,True
10147,LHAD1g1,L,233,1075,1308,26264.0,0.049802010356381356,1556,26,2035248,1308,gaba,0.8251751199406103,True,True
11677,PVLP151,R,347,2073,2420,10961.0,0.220782775294225,677,25,1638340,677,acetylcholine,0.9645674201527171,True,True
12275,PVLP151,L,435,2095,2530,9259.0,0.27324765093422615,645,23,1631850,645,acetylcholine,0.8991030091012537,True,True
16659,PVLP011,R,417,6983,7400,44912.0,0.16476665479159244,205,18,1517000,205,gaba,0.8404627793236956,True,True
523921,PVLP122,R,923,580,1503,8326.0,0.18051885659380254,1003,25,1507509,1003,acetylcholine,0.96167202764078,True,True
531985,PVLP010,R,938,13,951,19122.0,0.04973329149670536,1516,27,1441716,951,glutamate,0.6049111724290503,True,True
10992,PVLP122,L,979,363,1342,7578.0,0.17709158089205596,997,29,1337974,997,acetylcholine,0.9552597431537038,True,True
12215,PVLP122,R,1313,15,1328,9675.0,0.1372609819121447,966,26,1282848,966,acetylcholine,0.9639865854552393,True,True
11927,PVLP122,L,1248,3,1251,9480.0,0.1319620253164557,1004,27,1256004,1004,acetylcholine,0.9676638886005774,True,True
11826,PVLP151,R,350,1283,1633,8656.0,0.18865526802218113,700,27,1143100,700,acetylcholine,0.9623985009148077,True,True
10173,PVLP151,L,394,1320,1714,8872.0,0.19319206492335436,609,23,1043826,609,acetylcholine,0.9617031812209408,True,True
10867,PVLP076,R,4,758,762,13044.0,0.05841766329346826,1138,28,867156,762,acetylcholine,0.9581168632896625,True,True
16475,PVLP024,L,2651,28,2679,4172.0,0.6421380632790029,321,22,859959,321,gaba,0.8617317275639672,True,True
523564,PVLP011,L,594,4640,5234,,,139,16,727526,139,gaba,0.8418892919787313,True,True
555383,PVLP076,L,5,580,585,10983.0,0.05326413548210871,1041,24,608985,585,acetylcholine,0.9301798124339802,True,True
19454,PVLP024,R,2173,16,2189,3418.0,0.6404330017554125,255,21,558195,255,gaba,0.8655004567993698,True,True
530085,PVLP022,R,807,278,1085,4784.0,0.22679765886287626,499,26,541415,499,gaba,0.873355089752528,True,True
16459,PVLP024,R,2026,8,2034,3497.0,0.5816414069202174,222,19,451548,222,gaba,0.8827358195725109,True,True
12041,AVLP396,R,0,497,497,9890.0,0.05025278058645096,865,21,429905,497,acetylcholine,0.9416748726043863,True,True
13122,PVLP130,R,943,1401,2344,6428.0,0.3646546359676416,179,13,419576,179,gaba,0.8695302644888453,True,True
10145,PVLP130,L,1001,1200,2201,5820.0,0.3781786941580756,179,8,393979,179,gaba,0.8596009347069874,True,True
10780,AVLP396,L,3,425,428,8215.0,0.05209981740718198,912,17,390336,428,acetylcholine,0.9625841918656945,True,True
11895,PVLP022,L,804,273,1077,4876.0,0.2208777686628384,362,21,389874,362,gaba,0.873691386469614,True,True
527690,PVLP022,L,1167,323,1490,3861.0,0.3859103859103859,244,29,363560,244,gaba,0.849657090191552,True,True
17375,SAD064,L,466,14,480,1812.0,0.26490066225165565,545,14,261600,480,acetylcholine,0.9314365333352186,True,True
531899,AVLP452,L,856,2,858,4067.0,0.210966314236538,303,22,259974,303,acetylcholine,0.9347429975539172,True,True
12507,AVLP340,R,0,810,810,,,285,7,230850,285,acetylcholine,0.9446814806430058,True,True
25438,SAD064,L,340,40,380,2407.0,0.15787287079351892,592,16,224960,380,acetylcholine,0.9401877084310687,True,True
534040,PVLP015,R,541,142,683,10128.0,0.06743680884676145,329,19,224707,329,glutamate,0.7201674402881679,True,True
21342,CL323,L,362,216,578,2730.0,0.21172161172161172,372,22,215016,372,acetylcholine,0.9676405270691675,True,True
10943,AVLP531,R,9,3025,3034,,,70,12,212380,70,gaba,0.798070783020641,True,True
13794,PVLP021,R,1110,8,1118,3683.0,0.30355688297583494,180,22,201240,180,gaba,0.8631519006649535,True,True
527699,SAD064,R,454,22,476,1808.0,0.26327433628318586,417,14,198492,417,acetylcholine,0.9361320449970115,True,True
15665,SAD064,R,311,36,347,2338.0,0.1484174508126604,554,14,192238,347,acetylcholine,0.9520959783313615,True,True
10017,AMMC-A1,L,1992,35,2027,,,92,14,186484,92,unclear,0.4749889901606193,True,True
529031,GNG300,L,84,383,467,8772.0,0.05323757409940721,366,25,170922,366,gaba,0.8561895427087998,True,True
10146,AMMC-A1,R,2114,121,2235,,,76,9,169860,76,acetylcholine,0.5266557394938229,True,True
12870,AVLP500,R,5,1642,1647,,,97,10,159759,97,acetylcholine,0.9695968440061524,True,True
15994,CB3513,L,589,22,611,4461.0,0.13696480609728762,255,20,155805,255,gaba,0.845313577833457,True,True
519389,AVLP452,L,582,0,582,,,252,22,146664,252,acetylcholine,0.9067228134061512,True,True
10257,AMMC-A1,L,1821,31,1852,,,75,15,138900,75,acetylcholine,0.5931804647614707,True,True
526031,PVLP021,L,716,21,737,3514.0,0.2097324985771201,186,25,137082,186,gaba,0.8473104735836953,True,True
11191,AVLP340,L,1,424,425,5473.0,0.07765393751141969,321,8,136425,321,acetylcholine,0.9642890874998694,True,True
65991,PVLP021,L,912,2,914,3389.0,0.26969607553850694,148,26,135272,148,gaba,0.8581942676524303,True,True
10020,AMMC-A1,L,2239,85,2324,,,57,14,132468,57,unclear,0.4912820169458393,True,True
16445,PVLP123,R,16,173,189,3942.0,0.04794520547945205,697,25,131733,189,acetylcholine,0.9484722053701019,True,True
