bodyId,type,side,circuit_role,predicted_nt,predicted_nt_confidence,consensus_nt,total_predictions,functional_sign_justified,functional_sign_limitation
12032,LC4,L,visual_projection_input,acetylcholine,0.9590470461080031,acetylcholine,433,False,Receptor identity unmapped; cholinergic synapses can act via muscarinic receptors (inhibitory) or nicotinic receptors (excitatory); glutamatergic transmission can be inhibitory via GluCl or excitatory via AMPA-like receptors. Unsigned weights maintained.
12349,LC4,L,visual_projection_input,acetylcholine,0.9604427416311759,acetylcholine,475,False,Receptor identity unmapped; cholinergic synapses can act via muscarinic receptors (inhibitory) or nicotinic receptors (excitatory); glutamatergic transmission can be inhibitory via GluCl or excitatory via AMPA-like receptors. Unsigned weights maintained.
12824,LC4,L,visual_projection_input,acetylcholine,0.9574091540797885,acetylcholine,392,False,Receptor identity unmapped; cholinergic synapses can act via muscarinic receptors (inhibitory) or nicotinic receptors (excitatory); glutamatergic transmission can be inhibitory via GluCl or excitatory via AMPA-like receptors. Unsigned weights maintained.
14888,LC4,L,visual_projection_input,acetylcholine,0.9609048330533637,acetylcholine,421,False,Receptor identity unmapped; cholinergic synapses can act via muscarinic receptors (inhibitory) or nicotinic receptors (excitatory); glutamatergic transmission can be inhibitory via GluCl or excitatory via AMPA-like receptors. Unsigned weights maintained.
15018,LC4,L,visual_projection_input,acetylcholine,0.9668874294010709,acetylcholine,371,False,Receptor identity unmapped; cholinergic synapses can act via muscarinic receptors (inhibitory) or nicotinic receptors (excitatory); glutamatergic transmission can be inhibitory via GluCl or excitatory via AMPA-like receptors. Unsigned weights maintained.
16128,LC4,R,visual_projection_input,acetylcholine,0.9510266116701801,acetylcholine,532,False,Receptor identity unmapped; cholinergic synapses can act via muscarinic receptors (inhibitory) or nicotinic receptors (excitatory); glutamatergic transmission can be inhibitory via GluCl or excitatory via AMPA-like receptors. Unsigned weights maintained.
16138,LC4,R,visual_projection_input,acetylcholine,0.9637571785129073,acetylcholine,353,False,Receptor identity unmapped; cholinergic synapses can act via muscarinic receptors (inhibitory) or nicotinic receptors (excitatory); glutamatergic transmission can be inhibitory via GluCl or excitatory via AMPA-like receptors. Unsigned weights maintained.
16628,LC4,R,visual_projection_input,acetylcholine,0.9614202036385276,acetylcholine,510,False,Receptor identity unmapped; cholinergic synapses can act via muscarinic receptors (inhibitory) or nicotinic receptors (excitatory); glutamatergic transmission can be inhibitory via GluCl or excitatory via AMPA-like receptors. Unsigned weights maintained.
16809,LC4,L,visual_projection_input,acetylcholine,0.9661320748283181,acetylcholine,338,False,Receptor identity unmapped; cholinergic synapses can act via muscarinic receptors (inhibitory) or nicotinic receptors (excitatory); glutamatergic transmission can be inhibitory via GluCl or excitatory via AMPA-like receptors. Unsigned weights maintained.
16917,LC4,L,visual_projection_input,acetylcholine,0.9296315119048634,acetylcholine,323,False,Receptor identity unmapped; cholinergic synapses can act via muscarinic receptors (inhibitory) or nicotinic receptors (excitatory); glutamatergic transmission can be inhibitory via GluCl or excitatory via AMPA-like receptors. Unsigned weights maintained.
17054,LC4,R,visual_projection_input,acetylcholine,0.961956356236583,acetylcholine,456,False,Receptor identity unmapped; cholinergic synapses can act via muscarinic receptors (inhibitory) or nicotinic receptors (excitatory); glutamatergic transmission can be inhibitory via GluCl or excitatory via AMPA-like receptors. Unsigned weights maintained.
