bodyId,type,role,somaSide,soma_x,soma_y,soma_z,retinotopic_column_available,coordinate_type
10001,DNp01,candidate_descending,R,37124.0,22258.0,36274.0,False,soma_centroid_nm
10010,DNp01,candidate_descending,L,58238.0,22234.0,36276.0,False,soma_centroid_nm
10030,pIP1,candidate_descending,L,56562.0,17820.0,34706.0,False,soma_centroid_nm
10038,pIP1,candidate_descending,R,39330.0,19195.0,35528.0,False,soma_centroid_nm
10063,DNp27,candidate_descending,R,34200.0,17553.0,36204.0,False,soma_centroid_nm
10065,DNb05,candidate_descending,R,46239.0,34810.0,15951.0,False,soma_centroid_nm
10068,DNp30,candidate_descending,R,46661.0,20105.0,36518.0,False,soma_centroid_nm
10091,DNpe042,candidate_descending,L,60680.0,23620.0,37176.0,False,soma_centroid_nm
10106,DNp11,candidate_descending,R,38993.0,27470.0,38247.0,False,soma_centroid_nm
10117,DNp02,candidate_descending,R,36822.0,21228.0,35442.0,False,soma_centroid_nm
10118,DNb05,candidate_descending,L,51152.0,31422.0,14590.0,False,soma_centroid_nm
10143,DNp30,candidate_descending,L,49944.0,23421.0,37512.0,False,soma_centroid_nm
10197,DNp02,candidate_descending,L,58903.0,20337.0,35171.0,False,soma_centroid_nm
10223,DNpe056,candidate_descending,L,56955.0,16648.0,35889.0,False,soma_centroid_nm
10228,DNp06,candidate_descending,L,59023.0,21254.0,36260.0,False,soma_centroid_nm
10234,DNp35,candidate_descending,L,59209.0,19523.0,35768.0,False,soma_centroid_nm
10244,DNp55,candidate_descending,L,56213.0,17159.0,34097.0,False,soma_centroid_nm
10259,DNp11,candidate_descending,L,59816.0,25251.0,37404.0,False,soma_centroid_nm
10280,DNp47,candidate_descending,R,39406.0,20267.0,38228.0,False,soma_centroid_nm
10283,DNp103,candidate_descending,R,34618.0,24870.0,36898.0,False,soma_centroid_nm
10296,DNge054,candidate_descending,R,35464.0,41162.0,26372.0,False,soma_centroid_nm
10342,DNc02,candidate_descending,R,48050.0,11786.0,25372.0,False,soma_centroid_nm
10361,DNg40,candidate_descending,L,51581.0,47658.0,27161.0,False,soma_centroid_nm
10377,DNge054,candidate_descending,L,60806.0,40566.0,26600.0,False,soma_centroid_nm
10417,DNp103,candidate_descending,L,61547.0,23883.0,37106.0,False,soma_centroid_nm
10449,DNpe025,candidate_descending,L,58119.0,16969.0,34128.0,False,soma_centroid_nm
10558,DNp35,candidate_descending,R,38498.0,23136.0,36668.0,False,soma_centroid_nm
10580,DNp70,candidate_descending,L,57452.0,20640.0,38446.0,False,soma_centroid_nm
10584,DNp06,candidate_descending,R,36816.0,21600.0,36960.0,False,soma_centroid_nm
10590,DNpe052,candidate_descending,L,59220.0,18642.0,36722.0,False,soma_centroid_nm
10601,DNpe025,candidate_descending,R,39470.0,19128.0,37418.0,False,soma_centroid_nm
10705,DNc02,candidate_descending,L,48069.0,8819.0,23961.0,False,soma_centroid_nm
10713,DNp42,candidate_descending,L,56980.0,16183.0,37633.0,False,soma_centroid_nm
10732,DNpe056,candidate_descending,R,38382.0,18462.0,35885.0,False,soma_centroid_nm
10752,DNp03,candidate_descending,L,53694.0,16558.0,30964.0,False,soma_centroid_nm
10783,DNp09,candidate_descending,L,58758.0,21229.0,37805.0,False,soma_centroid_nm
10923,DNg40,candidate_descending,R,43712.0,47100.0,22322.0,False,soma_centroid_nm
10931,DNpe045,candidate_descending,L,60616.0,16586.0,35326.0,False,soma_centroid_nm
10957,DNp69,candidate_descending,R,37862.0,21961.0,38476.0,False,soma_centroid_nm
10989,DNp03,candidate_descending,R,45240.0,18164.0,33607.0,False,soma_centroid_nm
11020,DNp05,candidate_descending,R,41103.0,21019.0,37701.0,False,soma_centroid_nm
11063,DNge032,candidate_descending,L,56910.0,41264.0,18504.0,False,soma_centroid_nm
11088,DNp55,candidate_descending,R,40580.0,18992.0,34430.0,False,soma_centroid_nm
11133,DNp70,candidate_descending,R,38268.0,22905.0,37705.0,False,soma_centroid_nm
11137,DNp04,candidate_descending,R,37823.0,22229.0,37032.0,False,soma_centroid_nm
11159,DNp71,candidate_descending,R,38266.0,21852.0,37842.0,False,soma_centroid_nm
11177,DNp09,candidate_descending,R,37169.0,19527.0,37740.0,False,soma_centroid_nm
11290,DNp66,candidate_descending,R,37451.0,26284.0,37118.0,False,soma_centroid_nm
11334,DNpe045,candidate_descending,R,35034.0,16613.0,35717.0,False,soma_centroid_nm
11498,LPLC2,visual_projection,L,68710.0,20288.0,32378.0,False,soma_centroid_nm
11513,DNp07,candidate_descending,R,41146.0,20556.0,38784.0,False,soma_centroid_nm
11573,DNpe021,candidate_descending,L,58605.0,19794.0,38088.0,False,soma_centroid_nm
11632,DNpe052,candidate_descending,R,37979.0,21356.0,39060.0,False,soma_centroid_nm
12032,LC4,visual_projection,L,67030.0,31950.0,27092.0,False,soma_centroid_nm
12218,DNpe031,candidate_descending,L,62001.0,24872.0,37381.0,False,soma_centroid_nm
12222,DNpe031,candidate_descending,L,61578.0,26266.0,37344.0,False,soma_centroid_nm
12349,LC4,visual_projection,L,66566.0,31740.0,27897.0,False,soma_centroid_nm
12384,LPLC2,visual_projection,L,70760.0,18644.0,32584.0,False,soma_centroid_nm
12628,DNpe042,candidate_descending,R,36385.0,23949.0,37264.0,False,soma_centroid_nm
12824,LC4,visual_projection,L,65410.0,34022.0,28781.0,False,soma_centroid_nm
13132,LPLC2,visual_projection,L,69602.0,19600.0,31586.0,False,soma_centroid_nm
13726,LPLC2,visual_projection,L,69495.0,18548.0,31869.0,False,soma_centroid_nm
13764,LPLC2,visual_projection,L,69053.0,19901.0,33681.0,False,soma_centroid_nm
14030,LPLC2,visual_projection,L,66404.0,23704.0,35286.0,False,soma_centroid_nm
14102,LPLC2,visual_projection,L,65654.0,24484.0,34724.0,False,soma_centroid_nm
14465,LPLC2,visual_projection,R,27918.0,21096.0,32835.0,False,soma_centroid_nm
14888,LC4,visual_projection,L,71841.0,26651.0,27456.0,False,soma_centroid_nm
15018,LC4,visual_projection,L,66383.0,32296.0,28041.0,False,soma_centroid_nm
15804,LPLC2,visual_projection,L,68651.0,19863.0,34005.0,False,soma_centroid_nm
16128,LC4,visual_projection,R,30938.0,32810.0,29895.0,False,soma_centroid_nm
16138,LC4,visual_projection,R,28402.0,32570.0,27008.0,False,soma_centroid_nm
16628,LC4,visual_projection,R,29929.0,33118.0,28449.0,False,soma_centroid_nm
16809,LC4,visual_projection,L,65280.0,32586.0,29560.0,False,soma_centroid_nm
16917,LC4,visual_projection,L,65246.0,33106.0,29398.0,False,soma_centroid_nm
17054,LC4,visual_projection,R,32492.0,33586.0,31078.0,False,soma_centroid_nm
17059,LPLC2,visual_projection,L,65775.0,25663.0,35299.0,False,soma_centroid_nm
17266,LC4,visual_projection,R,25118.0,27196.0,28416.0,False,soma_centroid_nm
17270,LC4,visual_projection,L,65795.0,32717.0,29137.0,False,soma_centroid_nm
17340,LC4,visual_projection,L,66998.0,32752.0,27730.0,False,soma_centroid_nm
17364,LC4,visual_projection,R,31962.0,33601.0,29779.0,False,soma_centroid_nm
17478,LC4,visual_projection,L,66418.0,32199.0,28481.0,False,soma_centroid_nm
17544,LPLC2,visual_projection,L,66358.0,24018.0,35494.0,False,soma_centroid_nm
17548,LC4,visual_projection,R,31946.0,33169.0,30168.0,False,soma_centroid_nm
17551,LPLC2,visual_projection,R,27248.0,20740.0,32572.0,False,soma_centroid_nm
17608,LC4,visual_projection,L,66784.0,32366.0,28732.0,False,soma_centroid_nm
17653,LC4,visual_projection,L,66256.0,32511.0,28966.0,False,soma_centroid_nm
17668,LC4,visual_projection,R,30147.0,33305.0,28945.0,False,soma_centroid_nm
17774,LPLC2,visual_projection,L,68076.0,20874.0,33406.0,False,soma_centroid_nm
17775,LPLC2,visual_projection,L,71085.0,18772.0,31968.0,False,soma_centroid_nm
17860,LC4,visual_projection,R,25819.0,27861.0,29019.0,False,soma_centroid_nm
17880,LPLC2,visual_projection,L,67066.0,22400.0,35246.0,False,soma_centroid_nm
17926,LC4,visual_projection,R,30612.0,32868.0,29410.0,False,soma_centroid_nm
17987,LC4,visual_projection,R,31163.0,33655.0,29817.0,False,soma_centroid_nm
17990,LPLC2,visual_projection,L,71492.0,18219.0,33064.0,False,soma_centroid_nm
18127,LC4,visual_projection,R,30088.0,32793.0,28834.0,False,soma_centroid_nm
18189,LC4,visual_projection,R,25090.0,31020.0,26270.0,False,soma_centroid_nm
18396,LC4,visual_projection,L,72157.0,25536.0,26862.0,False,soma_centroid_nm
18432,LC4,visual_projection,L,66922.0,32872.0,26710.0,False,soma_centroid_nm
18478,LC4,visual_projection,L,72152.0,25979.0,27715.0,False,soma_centroid_nm
18672,LPLC2,visual_projection,R,26424.0,18830.0,32294.0,False,soma_centroid_nm
18900,LPLC2,visual_projection,L,65432.0,24890.0,35374.0,False,soma_centroid_nm
18929,LPLC2,visual_projection,R,27515.0,21876.0,32785.0,False,soma_centroid_nm
18936,LPLC2,visual_projection,L,69238.0,19586.0,32386.0,False,soma_centroid_nm
19034,LPLC2,visual_projection,R,24133.0,19171.0,33283.0,False,soma_centroid_nm
19146,LPLC2,visual_projection,R,28254.0,21008.0,33262.0,False,soma_centroid_nm
19229,LPLC2,visual_projection,R,27530.0,20462.0,34370.0,False,soma_centroid_nm
19249,LPLC2,visual_projection,R,28376.0,20924.0,35168.0,False,soma_centroid_nm
19260,LC4,visual_projection,R,25380.0,26914.0,28808.0,False,soma_centroid_nm
19420,LC4,visual_projection,R,30898.0,33214.0,29518.0,False,soma_centroid_nm
19543,LC4,visual_projection,R,26011.0,27036.0,28998.0,False,soma_centroid_nm
19549,LPLC2,visual_projection,R,29170.0,21382.0,34388.0,False,soma_centroid_nm
19550,LC4,visual_projection,R,30635.0,34064.0,29672.0,False,soma_centroid_nm
19589,LPLC2,visual_projection,R,27328.0,19885.0,32037.0,False,soma_centroid_nm
19608,LPLC2,visual_projection,R,27844.0,20007.0,33320.0,False,soma_centroid_nm
19634,LC4,visual_projection,R,30844.0,33716.0,29348.0,False,soma_centroid_nm
19787,LPLC2,visual_projection,L,71140.0,18890.0,30786.0,False,soma_centroid_nm
19794,LC4,visual_projection,R,31686.0,32770.0,29710.0,False,soma_centroid_nm
19830,LPLC2,visual_projection,L,68397.0,19766.0,32794.0,False,soma_centroid_nm
19842,LPLC2,visual_projection,R,24624.0,19330.0,33164.0,False,soma_centroid_nm
19911,LPLC2,visual_projection,L,66870.0,21997.0,35496.0,False,soma_centroid_nm
19954,LC4,visual_projection,R,31720.0,32059.0,29901.0,False,soma_centroid_nm
20016,LC4,visual_projection,R,32300.0,32588.0,31554.0,False,soma_centroid_nm
20047,LPLC2,visual_projection,R,25016.0,19538.0,33386.0,False,soma_centroid_nm
20103,LPLC2,visual_projection,R,24764.0,19877.0,31274.0,False,soma_centroid_nm
20162,LPLC2,visual_projection,R,28186.0,20520.0,35721.0,False,soma_centroid_nm
20182,LPLC2,visual_projection,R,27829.0,20382.0,35198.0,False,soma_centroid_nm
20240,LPLC2,visual_projection,L,71406.0,18834.0,31552.0,False,soma_centroid_nm
20269,LPLC2,visual_projection,R,26998.0,19734.0,33748.0,False,soma_centroid_nm
20282,LC4,visual_projection,R,30402.0,33736.0,28940.0,False,soma_centroid_nm
20329,LPLC2,visual_projection,L,70426.0,18083.0,34030.0,False,soma_centroid_nm
20334,LPLC2,visual_projection,R,25923.0,20136.0,33057.0,False,soma_centroid_nm
20399,LC4,visual_projection,R,32545.0,34073.0,30568.0,False,soma_centroid_nm
20440,LC4,visual_projection,L,65518.0,31875.0,29803.0,False,soma_centroid_nm
20471,LPLC2,visual_projection,R,26028.0,18730.0,32938.0,False,soma_centroid_nm
20535,LPLC2,visual_projection,R,28838.0,20466.0,34242.0,False,soma_centroid_nm
20542,LC4,visual_projection,R,28666.0,32942.0,27328.0,False,soma_centroid_nm
20572,LC4,visual_projection,L,65494.0,33518.0,28768.0,False,soma_centroid_nm
20584,LPLC2,visual_projection,R,25988.0,20881.0,31643.0,False,soma_centroid_nm
20588,LC4,visual_projection,R,24851.0,26718.0,28007.0,False,soma_centroid_nm
20673,LC4,visual_projection,R,30914.0,32690.0,28586.0,False,soma_centroid_nm
20694,LPLC2,visual_projection,R,29318.0,21804.0,34597.0,False,soma_centroid_nm
20749,LPLC2,visual_projection,R,29044.0,20904.0,34310.0,False,soma_centroid_nm
20799,LPLC2,visual_projection,L,72022.0,17545.0,32220.0,False,soma_centroid_nm
20808,LC4,visual_projection,R,24472.0,27718.0,27250.0,False,soma_centroid_nm
20859,LC4,visual_projection,L,68764.0,31484.0,26004.0,False,soma_centroid_nm
20917,LC4,visual_projection,R,25198.0,26452.0,28582.0,False,soma_centroid_nm
20967,LC4,visual_projection,L,67182.0,32432.0,28348.0,False,soma_centroid_nm
20976,LC4,visual_projection,L,70614.0,25765.0,28308.0,False,soma_centroid_nm
21045,LPLC2,visual_projection,R,25771.0,19039.0,35665.0,False,soma_centroid_nm
21151,LC4,visual_projection,R,31909.0,31514.0,30494.0,False,soma_centroid_nm
21165,LC4,visual_projection,R,32002.0,32660.0,30428.0,False,soma_centroid_nm
21225,LC4,visual_projection,R,32422.0,33236.0,31664.0,False,soma_centroid_nm
21287,LC4,visual_projection,R,31872.0,32108.0,30344.0,False,soma_centroid_nm
21299,LPLC2,visual_projection,L,66350.0,22864.0,35074.0,False,soma_centroid_nm
21313,LC4,visual_projection,R,26012.0,26428.0,29035.0,False,soma_centroid_nm
21318,LPLC2,visual_projection,R,28153.0,20369.0,33537.0,False,soma_centroid_nm
21336,LC4,visual_projection,R,26774.0,28346.0,29524.0,False,soma_centroid_nm
21361,LPLC2,visual_projection,L,70390.0,19706.0,31654.0,False,soma_centroid_nm
21562,LPLC2,visual_projection,R,24296.0,18926.0,31294.0,False,soma_centroid_nm
21703,LPLC2,visual_projection,R,26354.0,20764.0,32570.0,False,soma_centroid_nm
21721,LC4,visual_projection,L,66940.0,33556.0,27410.0,False,soma_centroid_nm
21769,LPLC2,visual_projection,R,27899.0,19826.0,33790.0,False,soma_centroid_nm
21804,LC4,visual_projection,R,27270.0,29742.0,29610.0,False,soma_centroid_nm
21808,LPLC2,visual_projection,R,26722.0,19448.0,33342.0,False,soma_centroid_nm
21862,LPLC2,visual_projection,R,23848.0,18841.0,33532.0,False,soma_centroid_nm
