bodyId,type,somaSide,robustness_status,weight_w1,weight_w3,weight_w10,retention_rate_w3_to_w1,retention_rate_w10_to_w1,rank_w1,rank_w3,rank_w10,receives_both_w1,receives_both_w3,receives_both_w10
531898,DNp04,L,Robust (survives w10),8768,8768,8619,1.0,0.983,1,1.0,1.0,True,True,True
10010,DNp01,L,Robust (survives w10),6424,6422,6360,0.9997,0.99,2,2.0,2.0,True,True,True
11137,DNp04,R,Robust (survives w10),6227,6217,6046,0.9984,0.9709,3,3.0,3.0,True,True,True
10001,DNp01,R,Robust (survives w10),4800,4798,4712,0.9996,0.9817,4,4.0,4.0,True,True,True
10283,DNp103,R,Robust (survives w10),3050,3034,2880,0.9948,0.9443,5,5.0,5.0,True,True,True
10417,DNp103,L,Robust (survives w10),2350,2321,2189,0.9877,0.9315,6,6.0,7.0,True,True,False
10197,DNp02,L,Robust (survives w10),2279,2279,2240,1.0,0.9829,7,7.0,6.0,False,False,False
10923,DNg40,R,Robust (survives w10),2272,2249,2050,0.9899,0.9023,8,8.0,8.0,True,True,True
10259,DNp11,L,Robust (survives w10),2078,2048,1929,0.9856,0.9283,9,9.0,9.0,True,True,False
10117,DNp02,R,Robust (survives w10),1935,1930,1894,0.9974,0.9788,10,10.0,10.0,True,False,False
10752,DNp03,L,Robust (survives w10),1828,1827,1819,0.9995,0.9951,11,11.0,11.0,True,False,False
10361,DNg40,L,Robust (survives w10),1706,1670,1360,0.9789,0.7972,12,12.0,13.0,True,True,True
10106,DNp11,R,Robust (survives w10),1659,1640,1563,0.9885,0.9421,13,13.0,12.0,True,False,False
10228,DNp06,L,Robust (survives w10),1591,1570,1090,0.9868,0.6851,14,14.0,14.0,True,True,True
10584,DNp06,R,Robust (survives w10),1280,1261,788,0.9852,0.6156,15,15.0,15.0,True,True,True
10223,DNpe056,L,Robust (survives w10),876,864,677,0.9863,0.7728,16,16.0,16.0,True,False,False
519771,DNp71,L,Robust (survives w10),799,784,525,0.9812,0.6571,17,17.0,19.0,True,False,False
10732,DNpe056,R,Robust (survives w10),750,733,513,0.9773,0.684,18,18.0,21.0,True,False,False
524001,DNp05,L,Robust (survives w10),717,699,604,0.9749,0.8424,19,19.0,17.0,True,True,False
