source_type,intermediate_body,visual_to_intermediate_weight,descending_body,intermediate_to_descending_weight,intermediate_type,descending_type,path_product_weight,path_min_weight,survives_w3,survives_w10
LPLC2,16659,6983,10923,97,PVLP011,DNg40,677351,97,True,True
LC4,10074,1238,10228,426,PVLP010,DNp06,527388,426,True,True
LC4,10074,1238,10010,414,PVLP010,DNp01,512532,414,True,True
LPLC2,10147,1075,10228,453,LHAD1g1,DNp06,486975,453,True,True
LPLC2,10297,974,10584,449,LHAD1g1,DNp06,437326,449,True,True
LC4,12215,1313,10001,278,PVLP122,DNp01,365014,278,True,True
LPLC2,11677,2073,10010,164,PVLP151,DNp01,339972,164,True,True
LC4,531985,938,10584,350,PVLP010,DNp06,328300,350,True,True
LC4,11927,1248,10010,258,PVLP122,DNp01,321984,258,True,True
LPLC2,10297,974,10283,329,LHAD1g1,DNp103,320446,329,True,True
LPLC2,11677,2073,10228,153,PVLP151,DNp06,317169,153,True,True
LPLC2,12275,2095,10584,145,PVLP151,DNp06,303775,145,True,True
LPLC2,10297,974,10923,305,LHAD1g1,DNg40,297070,305,True,True
LPLC2,12275,2095,10001,140,PVLP151,DNp01,293300,140,True,True
LPLC2,10147,1075,10417,262,LHAD1g1,DNp103,281650,262,True,True
LPLC2,10147,1075,10361,261,LHAD1g1,DNg40,280575,261,True,True
LC4,531985,938,10001,297,PVLP010,DNp01,278586,297,True,True
LC4,10074,1238,10361,213,PVLP010,DNg40,263694,213,True,True
LPLC2,523564,4640,10361,55,PVLP011,DNg40,255200,55,True,True
LC4,11927,1248,10228,201,PVLP122,DNp06,250848,201,True,True
LC4,11927,1248,10417,175,PVLP122,DNp103,218400,175,True,True
LPLC2,12275,2095,10283,104,PVLP151,DNp103,217880,104,True,True
LC4,523921,923,10001,233,PVLP122,DNp01,215059,233,True,True
LC4,10992,979,10010,219,PVLP122,DNp01,214401,219,True,True
LPLC2,10867,758,10584,281,PVLP076,DNp06,212998,281,True,True
LPLC2,10867,758,10558,281,PVLP076,DNp35,212998,281,True,True
LPLC2,11826,1283,10228,165,PVLP151,DNp06,211695,165,True,True
LPLC2,10173,1320,10584,160,PVLP151,DNp06,211200,160,True,True
LPLC2,11826,1283,10010,162,PVLP151,DNp01,207846,162,True,True
LPLC2,10147,1075,10010,188,LHAD1g1,DNp01,202100,188,True,True
LC4,530085,807,10259,246,PVLP022,DNp11,198522,246,True,True
