bodyId_pre,pre_type,pre_side,pre_nt,bodyId_post,post_type,post_side,weight,weight_normalized,edge_class
81112,LC4,left,acetylcholine,531898,DNp04,left,172,1.0,visual_to_readout
12349,LC4,left,acetylcholine,531898,DNp04,left,160,0.9302325581395349,visual_to_readout
515900,LC4,left,acetylcholine,531898,DNp04,left,158,0.9186046511627907,visual_to_readout
17054,LC4,right,acetylcholine,11137,DNp04,right,154,0.8953488372093024,visual_to_readout
512366,LC4,left,acetylcholine,531898,DNp04,left,154,0.8953488372093024,visual_to_readout
27624,LC4,left,acetylcholine,531898,DNp04,left,148,0.8604651162790697,visual_to_readout
17653,LC4,left,acetylcholine,531898,DNp04,left,147,0.8546511627906976,visual_to_readout
24523,LC4,left,acetylcholine,531898,DNp04,left,141,0.8197674418604651,visual_to_readout
14888,LC4,left,acetylcholine,531898,DNp04,left,132,0.7674418604651163,visual_to_readout
520449,LC4,left,acetylcholine,531898,DNp04,left,132,0.7674418604651163,visual_to_readout
17548,LC4,right,acetylcholine,11137,DNp04,right,132,0.7674418604651163,visual_to_readout
37587,LC4,left,acetylcholine,531898,DNp04,left,132,0.7674418604651163,visual_to_readout
17340,LC4,left,acetylcholine,531898,DNp04,left,131,0.7616279069767442,visual_to_readout
518439,LC4,left,acetylcholine,531898,DNp04,left,129,0.75,visual_to_readout
530029,LC4,left,acetylcholine,531898,DNp04,left,128,0.7441860465116279,visual_to_readout
77614,LC4,left,acetylcholine,531898,DNp04,left,128,0.7441860465116279,visual_to_readout
16128,LC4,right,acetylcholine,11137,DNp04,right,128,0.7441860465116279,visual_to_readout
21804,LC4,right,acetylcholine,11137,DNp04,right,126,0.7325581395348837,visual_to_readout
17478,LC4,left,acetylcholine,531898,DNp04,left,125,0.7267441860465116,visual_to_readout
31262,LC4,right,acetylcholine,11137,DNp04,right,123,0.7151162790697675,visual_to_readout
23929,LC4,right,acetylcholine,11137,DNp04,right,122,0.7093023255813954,visual_to_readout
16809,LC4,left,acetylcholine,531898,DNp04,left,120,0.6976744186046512,visual_to_readout
17987,LC4,right,acetylcholine,11137,DNp04,right,119,0.6918604651162791,visual_to_readout
16628,LC4,right,acetylcholine,11137,DNp04,right,118,0.686046511627907,visual_to_readout
20859,LC4,left,acetylcholine,531898,DNp04,left,111,0.6453488372093024,visual_to_readout
518983,LC4,left,acetylcholine,531898,DNp04,left,111,0.6453488372093024,visual_to_readout
511914,LC4,left,acetylcholine,531898,DNp04,left,110,0.6395348837209303,visual_to_readout
20282,LC4,right,acetylcholine,11137,DNp04,right,109,0.6337209302325582,visual_to_readout
12824,LC4,left,acetylcholine,531898,DNp04,left,108,0.627906976744186,visual_to_readout
518730,LC4,left,acetylcholine,531898,DNp04,left,108,0.627906976744186,visual_to_readout
27750,LC4,left,acetylcholine,531898,DNp04,left,107,0.622093023255814,visual_to_readout
34845,LC4,left,acetylcholine,531898,DNp04,left,106,0.6162790697674418,visual_to_readout
27829,LC4,left,acetylcholine,531898,DNp04,left,106,0.6162790697674418,visual_to_readout
17608,LC4,left,acetylcholine,531898,DNp04,left,106,0.6162790697674418,visual_to_readout
19543,LC4,right,acetylcholine,11137,DNp04,right,106,0.6162790697674418,visual_to_readout
19550,LC4,right,acetylcholine,11137,DNp04,right,106,0.6162790697674418,visual_to_readout
20917,LC4,right,acetylcholine,11137,DNp04,right,104,0.6046511627906976,visual_to_readout
15018,LC4,left,acetylcholine,531898,DNp04,left,104,0.6046511627906976,visual_to_readout
19954,LC4,right,acetylcholine,11137,DNp04,right,101,0.5872093023255814,visual_to_readout
17364,LC4,right,acetylcholine,11137,DNp04,right,100,0.5813953488372093,visual_to_readout
526286,LC4,left,acetylcholine,531898,DNp04,left,99,0.5755813953488372,visual_to_readout
514956,LC4,left,acetylcholine,531898,DNp04,left,99,0.5755813953488372,visual_to_readout
20588,LC4,right,acetylcholine,11137,DNp04,right,99,0.5755813953488372,visual_to_readout
20967,LC4,left,acetylcholine,531898,DNp04,left,99,0.5755813953488372,visual_to_readout
111787,LC4,left,acetylcholine,531898,DNp04,left,97,0.563953488372093,visual_to_readout
19794,LC4,right,acetylcholine,11137,DNp04,right,96,0.5581395348837209,visual_to_readout
20542,LC4,right,acetylcholine,11137,DNp04,right,94,0.5465116279069767,visual_to_readout
22847,LC4,right,acetylcholine,11137,DNp04,right,94,0.5465116279069767,visual_to_readout
30087,LC4,left,acetylcholine,531898,DNp04,left,93,0.5406976744186046,visual_to_readout
18432,LC4,left,acetylcholine,531898,DNp04,left,92,0.5348837209302325,visual_to_readout
32597,LC4,left,acetylcholine,531898,DNp04,left,92,0.5348837209302325,visual_to_readout
17926,LC4,right,acetylcholine,11137,DNp04,right,92,0.5348837209302325,visual_to_readout
29469,LC4,left,acetylcholine,531898,DNp04,left,91,0.5290697674418605,visual_to_readout
33137,LC4,left,acetylcholine,531898,DNp04,left,90,0.5232558139534884,visual_to_readout
527408,LC4,right,acetylcholine,11137,DNp04,right,90,0.5232558139534884,visual_to_readout
25584,LC4,right,acetylcholine,11137,DNp04,right,89,0.5174418604651163,visual_to_readout
18127,LC4,right,acetylcholine,11137,DNp04,right,89,0.5174418604651163,visual_to_readout
18478,LC4,left,acetylcholine,531898,DNp04,left,89,0.5174418604651163,visual_to_readout
26112,LC4,right,acetylcholine,11137,DNp04,right,88,0.5116279069767442,visual_to_readout
21313,LC4,right,acetylcholine,11137,DNp04,right,87,0.5058139534883721,visual_to_readout
17270,LC4,left,acetylcholine,531898,DNp04,left,87,0.5058139534883721,visual_to_readout
22034,LC4,right,acetylcholine,11137,DNp04,right,87,0.5058139534883721,visual_to_readout
17478,LC4,left,acetylcholine,10010,DNp01,left,86,0.5,visual_to_readout
30803,LC4,right,acetylcholine,11137,DNp04,right,86,0.5,visual_to_readout
23202,LC4,left,acetylcholine,531898,DNp04,left,86,0.5,visual_to_readout
22975,LC4,right,acetylcholine,11137,DNp04,right,86,0.5,visual_to_readout
18396,LC4,left,acetylcholine,531898,DNp04,left,86,0.5,visual_to_readout
512705,LC4,left,acetylcholine,531898,DNp04,left,86,0.5,visual_to_readout
22194,LC4,right,acetylcholine,11137,DNp04,right,85,0.4941860465116279,visual_to_readout
20440,LC4,left,acetylcholine,531898,DNp04,left,85,0.4941860465116279,visual_to_readout
21225,LC4,right,acetylcholine,11137,DNp04,right,85,0.4941860465116279,visual_to_readout
515476,LC4,left,acetylcholine,531898,DNp04,left,85,0.4941860465116279,visual_to_readout
30480,LC4,right,acetylcholine,11137,DNp04,right,84,0.4883720930232558,visual_to_readout
18189,LC4,right,acetylcholine,11137,DNp04,right,84,0.4883720930232558,visual_to_readout
12032,LC4,left,acetylcholine,531898,DNp04,left,84,0.4883720930232558,visual_to_readout
21721,LC4,left,acetylcholine,531898,DNp04,left,83,0.48255813953488375,visual_to_readout
17653,LC4,left,acetylcholine,10010,DNp01,left,83,0.48255813953488375,visual_to_readout
35262,LC4,left,acetylcholine,531898,DNp04,left,83,0.48255813953488375,visual_to_readout
518016,LC4,left,acetylcholine,531898,DNp04,left,83,0.48255813953488375,visual_to_readout
22772,LC4,left,acetylcholine,531898,DNp04,left,83,0.48255813953488375,visual_to_readout
21287,LC4,right,acetylcholine,11137,DNp04,right,82,0.47674418604651164,visual_to_readout
518439,LC4,left,acetylcholine,10010,DNp01,left,82,0.47674418604651164,visual_to_readout
20859,LC4,left,acetylcholine,10010,DNp01,left,81,0.47093023255813954,visual_to_readout
31429,LC4,left,acetylcholine,531898,DNp04,left,81,0.47093023255813954,visual_to_readout
31301,LC4,left,acetylcholine,531898,DNp04,left,80,0.46511627906976744,visual_to_readout
20808,LC4,right,acetylcholine,11137,DNp04,right,79,0.45930232558139533,visual_to_readout
107513,LC4,left,acetylcholine,531898,DNp04,left,78,0.45348837209302323,visual_to_readout
29563,LC4,right,acetylcholine,11137,DNp04,right,78,0.45348837209302323,visual_to_readout
23098,LC4,right,acetylcholine,11137,DNp04,right,77,0.4476744186046512,visual_to_readout
524899,LC4,left,acetylcholine,531898,DNp04,left,77,0.4476744186046512,visual_to_readout
516909,LC4,left,acetylcholine,531898,DNp04,left,77,0.4476744186046512,visual_to_readout
21336,LC4,right,acetylcholine,11137,DNp04,right,76,0.4418604651162791,visual_to_readout
29417,LC4,left,acetylcholine,531898,DNp04,left,76,0.4418604651162791,visual_to_readout
17860,LC4,right,acetylcholine,11137,DNp04,right,76,0.4418604651162791,visual_to_readout
100485,LC4,left,acetylcholine,531898,DNp04,left,74,0.43023255813953487,visual_to_readout
29514,LC4,left,acetylcholine,531898,DNp04,left,74,0.43023255813953487,visual_to_readout
24338,LC4,right,acetylcholine,11137,DNp04,right,74,0.43023255813953487,visual_to_readout
19260,LC4,right,acetylcholine,11137,DNp04,right,73,0.42441860465116277,visual_to_readout
29469,LC4,left,acetylcholine,10010,DNp01,left,73,0.42441860465116277,visual_to_readout
514508,LC4,left,acetylcholine,531898,DNp04,left,73,0.42441860465116277,visual_to_readout
535341,LC4,left,acetylcholine,531898,DNp04,left,72,0.4186046511627907,visual_to_readout
532254,LC4,left,acetylcholine,531898,DNp04,left,72,0.4186046511627907,visual_to_readout
20572,LC4,left,acetylcholine,531898,DNp04,left,72,0.4186046511627907,visual_to_readout
20399,LC4,right,acetylcholine,11137,DNp04,right,71,0.4127906976744186,visual_to_readout
22966,LC4,right,acetylcholine,11137,DNp04,right,71,0.4127906976744186,visual_to_readout
32597,LC4,left,acetylcholine,10010,DNp01,left,69,0.4011627906976744,visual_to_readout
533129,LC4,left,acetylcholine,531898,DNp04,left,69,0.4011627906976744,visual_to_readout
533129,LC4,left,acetylcholine,10010,DNp01,left,69,0.4011627906976744,visual_to_readout
22922,LC4,left,acetylcholine,531898,DNp04,left,68,0.3953488372093023,visual_to_readout
22847,LC4,right,acetylcholine,10001,DNp01,right,67,0.38953488372093026,visual_to_readout
16138,LC4,right,acetylcholine,11137,DNp04,right,67,0.38953488372093026,visual_to_readout
20976,LC4,left,acetylcholine,531898,DNp04,left,67,0.38953488372093026,visual_to_readout
21151,LC4,right,acetylcholine,11137,DNp04,right,67,0.38953488372093026,visual_to_readout
17266,LC4,right,acetylcholine,11137,DNp04,right,67,0.38953488372093026,visual_to_readout
31308,LC4,left,acetylcholine,531898,DNp04,left,66,0.38372093023255816,visual_to_readout
16917,LC4,left,acetylcholine,531898,DNp04,left,66,0.38372093023255816,visual_to_readout
512366,LC4,left,acetylcholine,10010,DNp01,left,65,0.37790697674418605,visual_to_readout
16128,LC4,right,acetylcholine,10001,DNp01,right,65,0.37790697674418605,visual_to_readout
28945,LC4,right,acetylcholine,11137,DNp04,right,64,0.37209302325581395,visual_to_readout
515476,LC4,left,acetylcholine,10010,DNp01,left,64,0.37209302325581395,visual_to_readout
22328,LC4,right,acetylcholine,11137,DNp04,right,64,0.37209302325581395,visual_to_readout
27829,LC4,left,acetylcholine,10010,DNp01,left,64,0.37209302325581395,visual_to_readout
31563,LPLC2,left,acetylcholine,10010,DNp01,left,64,0.37209302325581395,visual_to_readout
524899,LC4,left,acetylcholine,10010,DNp01,left,64,0.37209302325581395,visual_to_readout
24338,LC4,right,acetylcholine,10001,DNp01,right,63,0.36627906976744184,visual_to_readout
17668,LC4,right,acetylcholine,10001,DNp01,right,63,0.36627906976744184,visual_to_readout
35616,LC4,left,acetylcholine,531898,DNp04,left,63,0.36627906976744184,visual_to_readout
20016,LC4,right,acetylcholine,11137,DNp04,right,63,0.36627906976744184,visual_to_readout
17270,LC4,left,acetylcholine,10010,DNp01,left,63,0.36627906976744184,visual_to_readout
23392,LC4,right,acetylcholine,11137,DNp04,right,63,0.36627906976744184,visual_to_readout
38065,LC4,right,acetylcholine,11137,DNp04,right,62,0.36046511627906974,visual_to_readout
12349,LC4,left,acetylcholine,10010,DNp01,left,62,0.36046511627906974,visual_to_readout
22772,LC4,left,acetylcholine,10010,DNp01,left,62,0.36046511627906974,visual_to_readout
12032,LC4,left,acetylcholine,10010,DNp01,left,62,0.36046511627906974,visual_to_readout
530029,LC4,left,acetylcholine,10010,DNp01,left,62,0.36046511627906974,visual_to_readout
16917,LC4,left,acetylcholine,10010,DNp01,left,62,0.36046511627906974,visual_to_readout
20399,LC4,right,acetylcholine,10001,DNp01,right,62,0.36046511627906974,visual_to_readout
19420,LC4,right,acetylcholine,11137,DNp04,right,62,0.36046511627906974,visual_to_readout
22966,LC4,right,acetylcholine,10001,DNp01,right,61,0.3546511627906977,visual_to_readout
17668,LC4,right,acetylcholine,11137,DNp04,right,61,0.3546511627906977,visual_to_readout
35616,LC4,left,acetylcholine,10010,DNp01,left,61,0.3546511627906977,visual_to_readout
20673,LC4,right,acetylcholine,11137,DNp04,right,61,0.3546511627906977,visual_to_readout
31301,LC4,left,acetylcholine,10010,DNp01,left,61,0.3546511627906977,visual_to_readout
514956,LC4,left,acetylcholine,10010,DNp01,left,60,0.3488372093023256,visual_to_readout
22253,LPLC2,left,acetylcholine,10010,DNp01,left,60,0.3488372093023256,visual_to_readout
20182,LPLC2,right,acetylcholine,10001,DNp01,right,59,0.3430232558139535,visual_to_readout
