bodyId,type,side,population,role,predicted_nt,predicted_nt_confidence,consensus_nt,nt_evidence
10010,DNp01,left,readout,primary,acetylcholine,0.557140683373016,acetylcholine,predicted
10001,DNp01,right,readout,primary,acetylcholine,0.5004955542656235,acetylcholine,predicted
10197,DNp02,left,readout,secondary,acetylcholine,0.9159098167097302,acetylcholine,predicted
10117,DNp02,right,readout,secondary,acetylcholine,0.8450423680625282,acetylcholine,predicted
531898,DNp04,left,readout,secondary,acetylcholine,0.961419260534768,acetylcholine,predicted
11137,DNp04,right,readout,secondary,acetylcholine,0.966145372598192,acetylcholine,predicted
10228,DNp06,left,readout,secondary,acetylcholine,0.9495065879467789,acetylcholine,predicted
10584,DNp06,right,readout,secondary,acetylcholine,0.9496455095554229,acetylcholine,predicted
10259,DNp11,left,readout,secondary,acetylcholine,0.9347718335345766,acetylcholine,predicted
10106,DNp11,right,readout,secondary,acetylcholine,0.9111542945898922,acetylcholine,predicted
12032,LC4,left,visual_input,looming_sensor,acetylcholine,0.9590470461080031,acetylcholine,predicted
12349,LC4,left,visual_input,looming_sensor,acetylcholine,0.9604427416311759,acetylcholine,predicted
12824,LC4,left,visual_input,looming_sensor,acetylcholine,0.9574091540797885,acetylcholine,predicted
14888,LC4,left,visual_input,looming_sensor,acetylcholine,0.9609048330533637,acetylcholine,predicted
15018,LC4,left,visual_input,looming_sensor,acetylcholine,0.9668874294010709,acetylcholine,predicted
16809,LC4,left,visual_input,looming_sensor,acetylcholine,0.9661320748283181,acetylcholine,predicted
16917,LC4,left,visual_input,looming_sensor,acetylcholine,0.9296315119048634,acetylcholine,predicted
17270,LC4,left,visual_input,looming_sensor,acetylcholine,0.9660372286948378,acetylcholine,predicted
17340,LC4,left,visual_input,looming_sensor,acetylcholine,0.9723143992283827,acetylcholine,predicted
17478,LC4,left,visual_input,looming_sensor,acetylcholine,0.9728713899636966,acetylcholine,predicted
17608,LC4,left,visual_input,looming_sensor,acetylcholine,0.9516361466954979,acetylcholine,predicted
17653,LC4,left,visual_input,looming_sensor,acetylcholine,0.9747326673375373,acetylcholine,predicted
18396,LC4,left,visual_input,looming_sensor,acetylcholine,0.9410451221006999,acetylcholine,predicted
18432,LC4,left,visual_input,looming_sensor,acetylcholine,0.9747326673375373,acetylcholine,predicted
18478,LC4,left,visual_input,looming_sensor,acetylcholine,0.9646737400178687,acetylcholine,predicted
20440,LC4,left,visual_input,looming_sensor,acetylcholine,0.9636730386480551,acetylcholine,predicted
20572,LC4,left,visual_input,looming_sensor,acetylcholine,0.9610029490011104,acetylcholine,predicted
20859,LC4,left,visual_input,looming_sensor,acetylcholine,0.9684721765596123,acetylcholine,predicted
20967,LC4,left,visual_input,looming_sensor,acetylcholine,0.9694480596439623,acetylcholine,predicted
20976,LC4,left,visual_input,looming_sensor,acetylcholine,0.9683753869973899,acetylcholine,predicted
21721,LC4,left,visual_input,looming_sensor,acetylcholine,0.9635012816132142,acetylcholine,predicted
22772,LC4,left,visual_input,looming_sensor,acetylcholine,0.969100649786823,acetylcholine,predicted
22922,LC4,left,visual_input,looming_sensor,acetylcholine,0.9719277730602193,acetylcholine,predicted
23202,LC4,left,visual_input,looming_sensor,acetylcholine,0.9609260859900681,acetylcholine,predicted
23226,LC4,left,visual_input,looming_sensor,acetylcholine,0.9036210648736546,acetylcholine,predicted
